name,gender,birthday,actorID,id,occupation,death,nationality,net_worth,is_alive,age,height
tracy letts,male,1965-07-04,10390,583,"['screenwriter', 'playwright', 'actor']",,us,1000000,True,58.0,
jamie dornan,male,1982-05-01,10391,584,"['singer', 'model', 'actor', 'musician']",,gb,14000000,True,41.0,1.8
zachary quinto,male,1977-06-02,10392,585,"['actor', 'film_producer', 'voice_actor']",,us,14000000,True,46.0,1.88
mila kunis,female,1983-08-14,10393,586,"['actor', 'voice_actor', 'model']",,ua,75000000,True,40.0,1.63
ewan mcgregor,male,1971-03-31,10394,587,"['actor', 'screenwriter', 'television_producer', 'singer', 'voice_actor']",,gb,25000000,True,52.0,1.79
viggo mortensen,male,1958-10-20,10395,588,"['actor', 'poet', 'musician', 'photographer', 'painter', 'singer', 'author']",,us,40000000,True,65.0,1.8
emma roberts,female,1991-02-10,10396,589,"['singer', 'actor', 'model', 'voice_actor']",,us,25000000,True,33.0,1.57
teresa palmer,female,1986-02-26,10397,590,"['actor', 'model', 'film_producer']",,au,3000000,True,38.0,1.67
vincent curatola,male,1953-08-16,10398,591,"['actor', 'writer', 'singer', 'teacher']",,us,5000000,True,70.0,
jeffrey dean morgan,male,1966-07-22,10399,592,['actor'],,us,10000000,True,57.0,1.88
susan sarandon,female,1946-10-04,10400,594,"['actor', 'voice_actor', 'activist', 'film_producer']",,us,60000000,True,77.0,1.7
mel gibson,male,1956-01-03,10401,595,"['actor', 'screenwriter', 'film_director', 'film_producer', 'television_producer', 'television_director', 'voice_actor']",,us,425000000,True,68.0,1.77
john leguizamo,male,1964-07-22,10402,597,"['actor', 'film_producer', 'television_producer', 'screenwriter', 'voice_actor', 'comedian']",,co,25000000,True,59.0,1.73
mia wasikowska,female,1989-10-14,10403,598,"['actor', 'voice_actor']",,au,8000000,True,34.0,1.62
zac efron,male,1987-10-18,10404,599,"['actor', 'singer', 'voice_actor']",,us,25000000,True,36.0,1.73
sam neill,male,1947-09-14,10405,601,"['actor', 'voice_actor', 'film_director', 'screenwriter', 'businessperson']",,nz,18000000,True,76.0,1.82
mykelti williamson,male,1957-03-04,10406,602,['actor'],,us,2000000,True,67.0,1.87
paul dano,male,1984-06-19,10407,603,"['actor', 'musician', 'film_producer']",,us,10000000,True,39.0,1.8
sean bean,male,1959-04-17,10408,604,"['actor', 'voice_actor']",,gb,20000000,True,64.0,1.8
alexander skarsgard,male,1976-08-25,10409,605,"['actor', 'film_director']",,se,12000000,True,47.0,1.94
anna friel,female,1976-07-12,10410,607,['actor'],,gb,10000000,True,47.0,1.57
elle fanning,female,1998-04-09,10411,608,"['actor', 'voice_actor']",,us,6000000,True,25.0,1.72
mindy cohn,female,1966-05-20,10412,615,"['actor', 'voice_actor', 'comedian', 'singer']",,us,1000000,True,57.0,
matthew mcconaughey,male,1969-11-04,10413,616,"['actor', 'voice_actor', 'film_producer', 'film_director', 'television_producer']",,us,140000000,True,54.0,1.82
kevin hart,male,1979-07-06,10414,617,"['actor', 'comedian', 'screenwriter', 'television_producer', 'film_producer']",,us,200000000,True,44.0,1.63
steve carell,male,1962-08-16,10415,619,"['comedian', 'film_producer', 'actor', 'television_producer', 'voice_actor', 'screenwriter', 'television_director']",,us,80000000,True,61.0,1.75
travis fimmel,male,1979-07-15,10416,620,"['model', 'actor']",,au,3000000,True,44.0,1.82
michael fassbender,male,1977-04-02,10417,621,"['actor', 'film_producer', 'businessperson']",,de,40000000,True,46.0,1.83
melissa leo,female,1960-09-14,10418,622,['actor'],,us,9000000,True,63.0,
susan sarandon,female,1946-10-04,10419,623,"['actor', 'voice_actor', 'activist', 'film_producer']",,us,60000000,True,77.0,1.7
will arnett,male,1970-05-04,10420,624,"['actor', 'voice_actor', 'television_producer', 'screenwriter', 'comedian']",,ca,20000000,True,53.0,1.89
rachel blanchard,female,1976-03-19,10421,625,['actor'],,ca,2000000,True,48.0,1.73
stellan skarsgard,male,1951-06-13,10422,627,"['actor', 'voice_actor', 'film_producer']",,se,40000000,True,72.0,1.91
jorma taccone,male,1977-03-19,10423,628,"['actor', 'television_director', 'television_producer', 'musician', 'screenwriter', 'film_score_composer', 'film_producer', 'lyricist']",,us,7000000,True,47.0,1.73
simon helberg,male,1980-12-09,10424,630,"['actor', 'television_producer', 'screenwriter', 'comedian', 'voice_actor', 'film_producer', 'pianist']",,us,45000000,True,43.0,1.7
sterling knight,male,1989-03-05,10425,631,"['actor', 'musician', 'comedian', 'singer-songwriter']",,us,2000000,True,35.0,1.8
chris evans,male,1981-06-13,10426,633,"['actor', 'voice_actor', 'film_director', 'film_producer']",,us,80000000,True,42.0,1.84
chris evans,male,1966-04-01,10427,633,"['television_producer', 'radio_producer', 'radio_personality', 'businessperson', 'presenter', 'actor', 'voice_actor']",,gb,120000000,True,57.0,1.88
vera farmiga,female,1973-08-06,10428,634,"['actor', 'film_director']",,us,10000000,True,50.0,1.65
naomi watts,female,1968-09-28,10429,635,"['actor', 'film_producer', 'voice_actor']",,au,30000000,True,55.0,1.64
pierce brosnan,male,1953-05-16,10430,638,"['actor', 'film_producer', 'businessperson', 'activist', 'artist', 'visual_artist', 'environmentalist']",,ie,200000000,True,70.0,1.88
mandy moore,female,1984-04-10,10431,640,"['singer-songwriter', 'model', 'actor', 'fashion_designer', 'voice_actor']",,us,14000000,True,39.0,1.76
ryan merriman,male,1983-04-10,10432,641,['actor'],,us,2000000,True,40.0,1.85
mark ruffalo,male,1967-11-22,10433,643,"['actor', 'film_producer', 'film_director', 'screenwriter']",,us,35000000,True,56.0,1.73
richard madden,male,1986-06-18,10434,644,['actor'],,gb,6000000,True,37.0,1.8
jeremy irons,male,1948-09-19,10435,646,"['actor', 'voice_actor']",,gb,16000000,True,75.0,1.87
thomas jane,male,1969-02-22,10436,648,"['actor', 'film_director', 'comic_book_creator', 'voice_actor', 'writer', 'film_producer', 'screenwriter']",,us,16000000,True,55.0,1.8
julia roberts,female,1967-10-28,10437,649,"['film_producer', 'actor', 'voice_actor', 'television_producer']",,us,250000000,True,56.0,1.75
julianne moore,female,1960-12-03,10438,651,"['actor', 'author', 'film_producer', 'television_producer', 'theatrical_producer', ""children's_book_author""]",,us,50000000,True,63.0,1.6
ryan gosling,male,1980-11-12,10439,652,"['actor', 'musician', 'restaurateur', 'film_director', 'screenwriter', 'film_producer', 'activist']",,ca,70000000,True,43.0,1.84
vincent d'onofrio,male,1959-06-30,10440,654,"['actor', 'film_producer', 'film_director', 'screenwriter', 'singer', 'teacher', 'spokesperson', 'voice_actor']",,us,14000000,True,64.0,1.93
jonathan pryce,male,1947-06-01,10441,655,"['actor', 'singer', 'salesman', 'voice_actor', 'film_score_composer']",,gb,5000000,True,76.0,1.83
saffron burrows,female,1972-10-22,10442,656,"['actor', 'model']",,gb,10000000,True,51.0,1.83
tom hanks,male,1956-07-09,10443,657,"['film_producer', 'screenwriter', 'television_producer', 'television_director', 'actor', 'voice_actor', 'film_director', 'motivational_speaker']",,us,400000000,True,67.0,1.83
jessica chastain,female,1977-03-24,10444,658,"['actor', 'film_producer']",,us,40000000,True,46.0,1.63
josh gad,male,1981-02-23,10445,659,"['actor', 'voice_actor', 'television_producer', 'screenwriter']",,us,14000000,True,43.0,
tom hiddleston,male,1981-02-09,10446,660,"['actor', 'voice_actor']",,gb,25000000,True,43.0,1.87
stephen fry,male,1957-08-24,10447,662,"['comedian', 'journalist', 'actor', 'presenter', 'playwright', 'screenwriter', 'author', 'film_director', 'television_producer', 'poet']",,gb,30000000,True,66.0,1.96
rebecca hall,female,1982-05-19,10448,663,['actor'],,gb,7000000,True,41.0,1.75
yvonne strahovski,female,1982-07-30,10449,664,"['actor', 'voice_actor']",,au,12000000,True,41.0,1.76
ethan hawke,male,1970-11-06,10450,665,"['actor', 'film_director', 'screenwriter', 'novelist', 'writer', 'theatre_director']",,us,55000000,True,53.0,1.79
wendell pierce,male,1966-12-08,10451,666,"['actor', 'businessperson', 'radio_personality', 'film_producer', 'theatrical_producer']",,us,7000000,True,57.0,1.73
melissa rauch,female,1980-06-23,10452,668,"['comedian', 'actor']",,us,20000000,True,43.0,1.52
mark hamill,male,1951-09-25,10453,669,"['actor', 'voice_actor', 'film_producer', 'writer', 'film_director', 'television_producer']",,us,18000000,True,72.0,1.75
tiffany haddish,female,1979-12-03,10454,670,"['comedian', 'actor']",,us,6000000,True,44.0,1.67
scarlett johansson,female,1984-11-22,10455,672,"['actor', 'singer', 'model', 'voice_actor']",,us,165000000,True,39.0,1.6
maggie gyllenhaal,female,1977-11-16,10456,673,['actor'],,us,15000000,True,46.0,1.75
robert carlyle,male,1961-04-14,10457,675,['actor'],,gb,10000000,True,62.0,1.73
ryan reynolds,male,1976-10-23,10458,677,"['actor', 'voice_actor', 'film_producer']",,ca,150000000,True,47.0,1.88
tim roth,male,1961-05-14,10459,678,"['actor', 'television_producer', 'film_director']",,gb,7000000,True,62.0,1.7
sophia myles,female,1980-03-18,10460,682,['actor'],,gb,5000000,True,44.0,1.68
michael shannon,male,1974-08-07,10461,683,"['actor', 'musician']",,us,8000000,True,49.0,1.9
naomi watts,female,1968-09-28,10462,684,"['actor', 'film_producer', 'voice_actor']",,au,30000000,True,55.0,1.64
henry cavill,male,1983-05-05,10463,686,['actor'],,gb,40000000,True,40.0,1.85
imogen poots,female,1989-06-03,10464,688,"['actor', 'model']",,gb,2000000,True,34.0,1.63
tyler hoechlin,male,1987-09-11,10465,689,['actor'],,us,4000000,True,36.0,1.83
eva mendes,female,1974-03-05,10466,690,"['actor', 'model', 'singer', 'designer', 'spokesperson', 'businessperson']",,us,20000000,True,50.0,1.68
keira knightley,female,1985-03-26,10467,691,"['actor', 'model', 'voice_actor']",,gb,80000000,True,38.0,1.7
steve mcqueen,male,1930-03-24,10468,692,"['actor', 'film_producer']",1980-11-07,us,30000000,False,50.0,1.77
steve mcqueen,male,1969-10-09,10469,692,"['artist', 'film_director', 'screenwriter', 'video_artist', 'film_producer']",,gb,14000000,True,54.0,
scarlett johansson,female,1984-11-22,10470,693,"['actor', 'singer', 'model', 'voice_actor']",,us,165000000,True,39.0,1.6
ron livingston,male,1967-06-05,10471,695,"['actor', 'voice_actor']",,us,5000000,True,56.0,1.79
troy baker,male,1976-04-01,10472,696,"['actor', 'voice_actor', 'musician', 'guitarist']",,us,6000000,True,47.0,1.91
mark ruffalo,male,1967-11-22,10473,697,"['actor', 'film_producer', 'film_director', 'screenwriter']",,us,35000000,True,56.0,1.73
emma thompson,female,1959-04-15,10474,698,"['actor', 'comedian', 'screenwriter', 'author', 'voice_actor', 'film_producer']",,gb,50000000,True,64.0,1.71
tilda swinton,female,1960-11-05,10475,699,"['actor', 'film_producer', 'model', 'voice_actor', 'screenwriter']",,gb,10000000,True,63.0,1.79
sam waterston,male,1940-11-15,10476,700,"['actor', 'television_producer', 'television_director', 'voice_actor', 'film_producer']",,us,15000000,True,83.0,1.85
wes bentley,male,1978-09-04,10477,704,"['actor', 'film_producer']",,us,3000000,True,45.0,1.8
martin henderson,male,1974-10-08,10478,706,['actor'],,nz,6000000,True,49.0,1.78
simon pegg,male,1970-02-14,10479,707,"['actor', 'screenwriter', 'comedian', 'film_producer', 'film_director', 'singer', 'voice_actor', 'writer']",,gb,25000000,True,54.0,1.78
tina fey,female,1970-05-18,10480,708,"['writer', 'actor', 'comedian', 'voice_actor', 'screenwriter', 'television_producer', 'musician']",,us,75000000,True,53.0,1.64
stefanie scott,female,,10481,709,,,,300000,,,
helen mirren,female,1945-07-26,10482,712,"['actor', 'voice_actor', 'film_producer']",,gb,100000000,True,78.0,1.63
sarah snook,female,1987,10483,714,['actor'],,au,3000000,,,
emma watson,female,1990-04-15,10484,715,"['actor', 'model']",,gb,80000000,True,33.0,1.65
jack black,male,1969-08-28,10485,716,"['actor', 'film_producer', 'television_producer', 'screenwriter', 'comedian', 'voice_actor', 'musician', 'record_producer', 'presenter', 'writer']",,us,50000000,True,54.0,1.68
nia vardalos,female,1962-09-24,10486,717,"['actor', 'screenwriter', 'singer', 'voice_actor', 'film_director', 'television_producer', 'film_producer']",,us,10000000,True,61.0,1.67
taron egerton,,,10487,718,,,,6000000,,,
michael shannon,male,1974-08-07,10488,719,"['actor', 'musician']",,us,8000000,True,49.0,1.9
michael ealy,male,1973-08-03,10489,720,['actor'],,us,3000000,True,50.0,1.77
scott adkins,male,1976-06-17,10490,723,"['actor', 'martial_artist', 'stunt_performer']",,gb,2000000,True,47.0,1.78
wesley snipes,male,1962-07-31,10491,724,"['actor', 'martial_artist', 'film_producer', 'businessperson', 'dancer', 'singer']",,us,10000000,True,61.0,1.75
matthew davis,male,1978-05-08,10492,725,['actor'],,us,2000000,True,45.0,1.81
tony hale,male,1970-09-30,10493,726,"['actor', 'television_producer', 'voice_actor']",,us,9000000,True,53.0,1.85
mary elizabeth winstead,female,1984-11-28,10494,727,"['actor', 'singer', 'film_producer']",,us,6000000,True,39.0,1.73
sacha baron cohen,male,1971-10-13,10495,728,"['comedian', 'actor', 'fashion_model', 'voice_actor', 'screenwriter', 'film_producer', 'television_producer']",,gb,160000000,True,52.0,1.91
sally field,female,1946-11-06,10496,729,"['singer', 'actor', 'film_producer', 'film_director', 'television_producer', 'screenwriter', 'television_director', 'voice_actor']",,us,55000000,True,77.0,1.59
ryan phillippe,male,1974-09-10,10497,731,"['actor', 'businessperson', 'film_producer', 'film_director', 'screenwriter']",,us,30000000,True,49.0,1.75
ray stevenson,male,1964-05-25,10498,732,['actor'],,gb,8000000,True,59.0,1.93
maria bello,female,1967-04-18,10499,736,"['actor', 'singer', 'activist', 'businessperson']",,us,12000000,True,56.0,1.65
woody allen,male,1935-12-01,10500,737,"['actor', 'comedian', 'film_director', 'playwright', 'musician', 'screenwriter', 'writer', 'voice_actor', 'film_score_composer', 'film_producer']",,us,140000000,True,88.0,1.65
pablo schreiber,male,1978-04-26,10501,738,['actor'],,us,4000000,True,45.0,1.96
tim roth,male,1961-05-14,10502,740,"['actor', 'television_producer', 'film_director']",,gb,7000000,True,62.0,1.7
josh brolin,male,1968-02-12,10503,741,"['actor', 'stock_trader', 'film_producer']",,us,45000000,True,56.0,1.79
jesse eisenberg,male,1983-10-05,10504,742,"['actor', 'voice_actor', 'playwright']",,us,10000000,True,40.0,1.71
matthew macfadyen,male,1974-10-17,10505,743,['actor'],,gb,3000000,True,49.0,1.88
sylvester stallone,male,1946-07-06,10506,744,"['screenwriter', 'actor', 'film_director', 'television_producer', 'film_producer', 'voice_actor']",,us,400000000,True,77.0,1.77
michael nyqvist,male,1960-11-08,10507,749,"['actor', 'author']",2017-06-27,se,15000000,False,56.0,
jason bateman,male,1969-01-14,10508,750,"['actor', 'television_director', 'television_producer', 'film_producer', 'voice_actor']",,us,30000000,True,55.0,1.8
rebecca de mornay,female,1959-08-29,10509,751,"['actor', 'performer', 'film_producer']",,us,11000000,True,64.0,1.66
michael gambon,male,1940-10-19,10510,752,"['actor', 'engineer', 'voice_actor']",,ie,15000000,True,83.0,1.83
stephan james,male,1993,10511,753,['actor'],,,3000000,,,
chiwetel ejiofor,male,1977-07-10,10512,755,"['actor', 'film_director', 'screenwriter']",,gb,12000000,True,46.0,1.78
rebel wilson,female,1986-02-03,10513,756,"['actor', 'stand-up_comedian', 'screenwriter', 'spokesperson', 'voice_actor', 'entrepreneur', 'television_producer', 'comedian']",,au,22000000,True,38.0,1.59
chris pine,male,1980-08-26,10514,757,"['actor', 'voice_actor']",,us,30000000,True,43.0,1.83
patrick wilson,male,1973-07-03,10515,758,"['actor', 'singer', 'film_producer']",,us,7000000,True,50.0,1.85
stephen dorff,male,1973-07-29,10516,759,['actor'],,us,12000000,True,50.0,1.7
zachary gordon,male,1998-02-15,10517,760,"['actor', 'voice_actor']",,us,2000000,True,26.0,1.65
thomas jane,male,1969-02-22,10518,761,"['actor', 'film_director', 'comic_book_creator', 'voice_actor', 'writer', 'film_producer', 'screenwriter']",,us,16000000,True,55.0,1.8
john hurt,male,1940-01-22,10519,763,"['actor', 'voice_actor']",,gb,30000000,True,84.0,1.75
tom felton,male,1987-09-22,10520,764,"['actor', 'singer', 'voice_actor']",,gb,20000000,True,36.0,1.75
ralph ineson,male,1969-12-15,10521,765,"['actor', 'teacher']",,gb,4000000,True,54.0,1.91
jessica chastain,female,1977-03-24,10522,766,"['actor', 'film_producer']",,us,40000000,True,46.0,1.63
matthew lillard,male,1970-01-24,10523,767,"['actor', 'film_producer', 'film_director', 'voice_actor']",,us,2000000,True,54.0,1.91
scott adkins,male,1976-06-17,10524,768,"['actor', 'martial_artist', 'stunt_performer']",,gb,2000000,True,47.0,1.78
jet li,male,1963-04-26,10525,770,"['actor', 'martial_artist', 'film_producer']",,,250000000,True,60.0,1.68
ryan reynolds,male,1976-10-23,10526,771,"['actor', 'voice_actor', 'film_producer']",,ca,150000000,True,47.0,1.88
michael moore,male,1954-04-23,10527,774,"['film_director', 'film_producer', 'screenwriter', 'writer', 'actor', 'critic', 'presenter']",,us,30000000,True,69.0,1.82
teresa palmer,female,1986-02-26,10528,775,"['actor', 'model', 'film_producer']",,au,3000000,True,38.0,1.67
jeffrey wright,male,1965-12-07,10529,777,['actor'],,us,8000000,True,58.0,1.8
kevin bacon,male,1958-07-08,10530,778,"['actor', 'musician', 'voice_actor', 'television_director', 'film_producer', 'film_score_composer']",,us,45000000,True,65.0,1.79
robert de niro,male,1943-08-17,10531,779,"['actor', 'film_producer', 'film_director', 'voice_actor', 'television_producer']",,us,500000000,True,80.0,1.77
meg ryan,female,1961-11-19,10532,780,"['actor', 'film_producer', 'voice_actor']",,us,85000000,True,62.0,1.73
romola garai,female,1982-08-06,10533,781,"['actor', 'model']",,cn,2000000,True,41.0,1.75
michiel huisman,male,1981-07-18,10534,784,"['actor', 'musician']",,nl,3000000,True,42.0,
toni collette,female,1972-11-01,10535,786,"['actor', 'musician', 'singer', 'television_producer', 'film_producer', 'voice_actor']",,au,18000000,True,51.0,1.73
shailene woodley,female,1991-11-15,10536,788,"['actor', 'model']",,us,12000000,True,32.0,1.73
tea leoni,female,1966-02-25,10537,789,"['actor', 'film_producer']",,us,50000000,True,58.0,1.7
dakota fanning,female,1994-02-23,10538,790,"['actor', 'voice_actor']",,us,12000000,True,30.0,1.63
rodney bingenheimer,male,1947-12-15,10539,791,"['radio_personality', 'disc_jockey', 'actor']",,us,2000000,True,76.0,
tom hardy,male,1977-09-15,10540,792,['actor'],,gb,45000000,True,46.0,1.75
tim robbins,male,1958-10-16,10541,793,"['actor', 'musician', 'screenwriter', 'activist', 'film_director', 'film_producer', 'voice_actor']",,us,70000000,True,65.0,1.96
halle berry,female,1966-08-14,10542,795,"['actor', 'model', 'voice_actor', 'film_producer', 'television_producer']",,us,90000000,True,57.0,1.66
greg kinnear,male,1963-06-17,10543,798,"['actor', 'screenwriter', 'television_producer', 'voice_actor', 'tv_personality']",,us,20000000,True,60.0,1.76
michelle yeoh,female,1962-08-06,10544,799,"['actor', 'dancer', 'film_producer']",,my,40000000,True,61.0,1.63
rosario dawson,female,1979-05-09,10545,800,"['actor', 'singer', 'writer', 'voice_actor', 'film_producer']",,us,8000000,True,44.0,1.7
christopher lee,male,1922-05-27,10546,801,"['actor', 'author', 'singer', 'voice_actor', 'film_producer', 'military_officer']",,gb,25000000,True,101.0,1.96
kiefer sutherland,male,1966-12-21,10547,804,"['actor', 'film_director', 'television_producer', 'television_director', 'film_producer', 'voice_actor']",,ca,100000000,True,57.0,1.75
john boyega,male,1992-03-17,10548,805,['actor'],,gb,6000000,True,32.0,
cate blanchett,female,1969-05-14,10549,811,"['actor', 'film_producer', 'voice_actor']",,au,95000000,True,54.0,1.74
josh lucas,male,1971-06-20,10550,812,"['actor', 'film_producer', 'cinematographer', 'voice_actor']",,us,8000000,True,52.0,1.82
rip torn,male,1931-02-06,10551,813,"['actor', 'voice_actor', 'film_director', 'film_producer']",2019-07-09,us,5000000,False,88.0,1.78
rebecca hall,female,1982-05-19,10552,814,['actor'],,gb,7000000,True,41.0,1.75
romola garai,female,1982-08-06,10553,816,"['actor', 'model']",,cn,2000000,True,41.0,1.75
michelle pfeiffer,female,1958-04-29,10554,817,['actor'],,us,250000000,True,65.0,1.71
josh hutcherson,male,1992-10-12,10555,819,['actor'],,us,20000000,True,31.0,1.7
will smith,male,1968-09-25,10556,821,"['actor', 'film_producer', 'record_producer', 'television_producer', 'rapper', 'screenwriter']",,us,350000000,True,55.0,1.88
will smith (nfl),male,1981-07-04,10557,821,['american_football_player'],,us,13000000,True,42.0,1.91
will ferrell,male,1967-07-16,10558,822,"['actor', 'film_producer', 'screenwriter', 'comedian', 'television_producer', 'impressionist', 'voice_actor', 'singer']",,us,160000000,True,56.0,1.91
paz de la huerta,female,1984-09-03,10559,823,"['model', 'actor']",,us,4000000,True,39.0,1.73
michael cera,male,1988-06-07,10560,824,"['actor', 'musician', 'voice_actor', 'screenwriter', 'film_director', 'television_producer', 'television_director', 'film_score_composer']",,ca,20000000,True,35.0,1.75
berry gordy,male,1929-11-28,10561,826,"['entrepreneur', 'record_producer', 'songwriter', 'businessperson', 'film_producer', 'television_producer', 'musician', 'music_executive']",,us,400000000,True,94.0,
david crowder,,,10562,827,,,,6000000,,,
james mcavoy,male,1979-04-21,10563,828,"['actor', 'voice_actor']",,gb,17000000,True,44.0,1.7
kurt russell,male,1951-03-17,10564,829,"['actor', 'screenwriter', 'voice_actor', 'film_producer']",,us,100000000,True,73.0,1.8
tina fey,female,1970-05-18,10565,830,"['writer', 'actor', 'comedian', 'voice_actor', 'screenwriter', 'television_producer', 'musician']",,us,75000000,True,53.0,1.64
steve carell,male,1962-08-16,10566,834,"['comedian', 'film_producer', 'actor', 'television_producer', 'voice_actor', 'screenwriter', 'television_director']",,us,80000000,True,61.0,1.75
salma hayek,female,1966-09-02,10567,837,"['actor', 'singer', 'television_producer', 'film_producer', 'film_director', 'voice_actor', 'social_activist', 'model', 'spokesperson', 'businessperson']",,mx,200000000,True,57.0,1.57
maggie smith,female,,10568,838,,,,18000000,,,
tom hiddleston,male,1981-02-09,10569,839,"['actor', 'voice_actor']",,gb,25000000,True,43.0,1.87
michelle williams (destiny's child),female,1979-07-23,10570,841,"['singer', 'actor', 'record_producer', 'dancer', 'songwriter']",,us,10000000,True,44.0,1.75
michelle williams,female,1980-09-09,10571,841,['actor'],,us,30000000,True,43.0,1.63
noah schnapp,,,10572,842,,,,3000000,,,
james mcavoy,male,1979-04-21,10573,843,"['actor', 'voice_actor']",,gb,17000000,True,44.0,1.7
thomas jane,male,1969-02-22,10574,844,"['actor', 'film_director', 'comic_book_creator', 'voice_actor', 'writer', 'film_producer', 'screenwriter']",,us,16000000,True,55.0,1.8
kate winslet,female,1975-10-05,10575,847,"['actor', 'singer', 'voice_actor']",,gb,65000000,True,48.0,1.69
owen wilson,male,1968-11-18,10576,848,"['actor', 'screenwriter', 'film_producer', 'voice_actor']",,us,70000000,True,55.0,1.79
cillian murphy,male,1976-05-25,10577,849,"['actor', 'musician']",,ie,20000000,True,47.0,1.75
roger allam,male,1953-10-26,10578,850,['actor'],,gb,5000000,True,70.0,1.82
saoirse ronan,female,1994-04-12,10579,851,['actor'],,us,7000000,True,29.0,1.68
sarah paulson,female,1974-12-17,10580,852,['actor'],,us,12000000,True,49.0,1.68
seth rogen,male,1982-04-15,10581,854,"['actor', 'film_producer', 'screenwriter', 'comedian', 'voice_actor', 'film_director', 'television_producer']",,ca,80000000,True,41.0,1.8
eddie redmayne,male,1982-01-06,10582,855,"['actor', 'model', 'singer']",,gb,4000000,True,42.0,1.8
les claypool,male,1963-09-29,10583,857,"['singer', 'songwriter', 'musician', 'record_producer', 'author', 'actor', 'bassist', 'film_score_composer', 'writer', 'film_director']",,us,15000000,True,60.0,1.88
tim robbins,male,1958-10-16,10584,858,"['actor', 'musician', 'screenwriter', 'activist', 'film_director', 'film_producer', 'voice_actor']",,us,70000000,True,65.0,1.96
troy baker,male,1976-04-01,10585,860,"['actor', 'voice_actor', 'musician', 'guitarist']",,us,6000000,True,47.0,1.91
james hetfield,male,1963-08-03,10586,861,"['singer', 'musician', 'songwriter', 'guitarist', 'record_producer', 'actor', 'film_producer']",,us,300000000,True,60.0,1.85
nathan fillion,male,1971-03-27,10587,863,"['actor', 'voice_actor']",,ca,18000000,True,52.0,1.87
sylvester stallone,male,1946-07-06,10588,864,"['screenwriter', 'actor', 'film_director', 'television_producer', 'film_producer', 'voice_actor']",,us,400000000,True,77.0,1.77
rupert grint,male,1988-08-24,10589,865,['actor'],,gb,50000000,True,35.0,1.73
robin tunney,female,1972-06-19,10590,866,['actor'],,us,8000000,True,51.0,1.62
rachel mcadams,female,1978-11-17,10591,867,['actor'],,ca,16000000,True,45.0,1.63
rachel weisz,female,1970-03-07,10592,868,"['actor', 'fashion_model', 'voice_actor']",,us,36000000,True,54.0,1.7
nicole kidman,female,1967-06-20,10593,869,"['singer', 'actor', 'film_producer']",,au,250000000,True,56.0,1.8
michael mckean,male,1947-10-17,10594,870,"['comedian', 'actor', 'musician', 'screenwriter', 'film_score_composer', 'television_producer', 'singer-songwriter', 'television_director', 'voice_actor']",,us,12000000,True,76.0,1.83
sid haig,male,1939-07-14,10595,872,"['actor', 'hypnotherapist', 'drummer']",2019-09-21,us,1500000,False,80.0,1.93
jeffrey wright,male,1965-12-07,10596,874,['actor'],,us,8000000,True,58.0,1.8
thomas jane,male,1969-02-22,10597,876,"['actor', 'film_director', 'comic_book_creator', 'voice_actor', 'writer', 'film_producer', 'screenwriter']",,us,16000000,True,55.0,1.8
helen mirren,female,1945-07-26,10598,878,"['actor', 'voice_actor', 'film_producer']",,gb,100000000,True,78.0,1.63
seth rogen,male,1982-04-15,10599,879,"['actor', 'film_producer', 'screenwriter', 'comedian', 'voice_actor', 'film_director', 'television_producer']",,ca,80000000,True,41.0,1.8
rodrigo santoro,male,1975-08-22,10600,881,"['actor', 'voice_actor']",,br,10000000,True,48.0,1.9
nathan lane,male,1956-02-03,10601,882,"['actor', 'writer', 'singer', 'voice_actor', 'comedian']",,us,18000000,True,68.0,1.65
rossif sutherland,male,1978-09-25,10602,884,['actor'],,ca,4000000,True,45.0,1.96
marcia gay harden,female,1959-08-14,10603,887,"['actor', 'voice_actor']",,us,16000000,True,64.0,1.64
josh lucas,male,1971-06-20,10604,888,"['actor', 'film_producer', 'cinematographer', 'voice_actor']",,us,8000000,True,52.0,1.82
shane jacobson,male,,10605,889,['actor'],,au,2000000,,,1.85
toni collette,female,1972-11-01,10606,890,"['actor', 'musician', 'singer', 'television_producer', 'film_producer', 'voice_actor']",,au,18000000,True,51.0,1.73
walton goggins,male,1971-11-10,10607,891,"['actor', 'film_producer']",,us,10000000,True,52.0,1.78
michael fassbender,male,1977-04-02,10608,892,"['actor', 'film_producer', 'businessperson']",,de,40000000,True,46.0,1.83
steve carell,male,1962-08-16,10609,894,"['comedian', 'film_producer', 'actor', 'television_producer', 'voice_actor', 'screenwriter', 'television_director']",,us,80000000,True,61.0,1.75
salma hayek,female,1966-09-02,10610,896,"['actor', 'singer', 'television_producer', 'film_producer', 'film_director', 'voice_actor', 'social_activist', 'model', 'spokesperson', 'businessperson']",,mx,200000000,True,57.0,1.57
guillaume canet,male,1973-04-10,10611,897,"['actor', 'film_director', 'screenwriter', 'film_producer', 'entrepreneur']",,fr,10000000,True,50.0,1.8
helena bonham carter,female,1966-05-26,10612,899,"['actor', 'singer', 'voice_actor']",,gb,60000000,True,57.0,1.57
jeff daniels,male,1955-02-19,10613,900,"['actor', 'musician', 'playwright', 'film_director', 'screenwriter', 'songwriter']",,us,45000000,True,69.0,1.91
vin diesel,male,1967-07-18,10614,901,"['actor', 'film_producer', 'film_director', 'screenwriter', 'voice_actor']",,us,225000000,True,56.0,1.82
