name,gender,birthday,occupation,age,height,death,nationality,net_worth,is_alive
"martin luther king, jr.",male,1929-01-15,"['writer', 'civil_rights_activist', 'minister_of_religion']",39,1.69,1968-04-04,us,250000,False
laurie metcalf,female,1955-06-16,"['actor', 'voice_actor', 'teacher']",68,1.69,,us,14000000,True
saoirse ronan,female,1994-04-12,['actor'],29,1.68,,us,7000000,True
tracy letts,male,1965-07-04,"['screenwriter', 'playwright', 'actor']",58,,,us,1000000,True
juliette binoche,female,1964-03-09,"['actor', 'artist', 'author', 'dancer', 'poet', 'designer', 'visual_artist', 'voice_actor']",60,1.68,,fr,20000000,True
julianne nicholson,female,1971-07-01,"['actor', 'model']",52,1.75,,us,3000000,True
margo martindale,female,1951-07-18,"['actor', 'voice_actor']",72,,,us,4000000,True
ben affleck,male,1972-08-15,"['actor', 'film_director', 'screenwriter', 'film_producer', 'television_producer', 'professional_poker_player', 'businessperson']",51,1.92,,us,150000000,True
gal gadot,female,1985-04-30,"['actor', 'model']",38,1.78,,il,30000000,True
bill pullman,male,1953-12-17,"['actor', 'voice_actor', 'film_director']",70,1.87,,us,18000000,True
peter fonda,male,1940-02-23,"['actor', 'writer', 'film_director', 'screenwriter', 'film_producer']",84,1.89,,us,40000000,True
bruce greenwood,male,1956-08-12,"['actor', 'voice_actor', 'musician']",67,1.8,,ca,10000000,True
jennifer carpenter,female,1979-12-07,"['actor', 'voice_actor']",44,1.74,,us,8000000,True
gary oldman,male,1958-03-21,"['actor', 'musician', 'film_producer', 'film_director', 'screenwriter', 'voice_actor']",65,1.74,,gb,40000000,True
kristin scott thomas,female,1960-05-24,['actor'],63,1.68,,fr,12000000,True
lily james,female,1989-04-05,['actor'],34,,,gb,4000000,True
al pacino,male,1940-04-25,"['actor', 'film_director', 'film_producer', 'theatre_director']",83,1.7,,us,120000000,True
evan peters,male,1987-01-20,['actor'],37,1.8,,us,4000000,True
melanie griffith,female,1957-08-09,"['actor', 'model', 'voice_actor', 'film_producer']",66,1.75,,us,40000000,True
alex wolff,male,1997-11-01,"['drummer', 'actor', 'songwriter', 'musician', 'composer', 'guitarist', 'keyboard_player']",26,1.4,,us,3000000,True
anne heche,female,1969-05-25,"['actor', 'screenwriter', 'television_producer', 'television_director', 'voice_actor']",54,1.65,,us,8000000,True
ross lynch,male,1995-12-29,"['actor', 'singer', 'dancer', 'musician']",28,1.83,,us,5000000,True
adam devine,male,1983-11-07,"['film_producer', 'actor', 'screenwriter', 'television_producer', 'comedian', 'voice_actor']",40,1.73,,us,8000000,True
alexandra daddario,female,1986-03-16,"['actor', 'model']",38,1.73,,us,8000000,True
shelley hennig,female,1987-01-02,['actor'],37,1.72,,us,1000000,True
logan huffman,male,1989-12-22,['actor'],34,,,us,150000,True
rafe spall,male,1983-03-10,['actor'],41,,,gb,3000000,True
ray stevenson,male,1964-05-25,['actor'],59,1.93,,gb,8000000,True
scott adkins,male,1976-06-17,"['actor', 'martial_artist', 'stunt_performer']",47,1.78,,gb,2000000,True
gael garcia bernal,male,1978-11-30,"['actor', 'film_producer', 'television_producer', 'film_director']",45,1.68,,mx,12000000,True
kenneth branagh,male,1960-12-10,"['actor', 'film_director', 'film_producer', 'screenwriter', 'television_producer', 'voice_actor']",63,1.77,,gb,60000000,True
penelope cruz,female,1974-04-28,"['actor', 'businessperson', 'model', 'singer', 'designer', 'film_producer']",49,1.68,,es,75000000,True
willem dafoe,male,1955-07-22,"['actor', 'voice_actor', 'model']",68,1.78,,us,40000000,True
tom baker,male,1934-01-20,"['actor', 'comedian']",90,1.91,,gb,10000000,True
mark wahlberg,male,1971-06-05,"['film_producer', 'actor', 'model', 'musician', 'rapper', 'television_producer', 'singer', 'film_score_composer', 'songwriter']",52,1.73,,us,300000000,True
will ferrell,male,1967-07-16,"['actor', 'film_producer', 'screenwriter', 'comedian', 'television_producer', 'impressionist', 'voice_actor', 'singer']",56,1.91,,us,160000000,True
willem dafoe,male,1955-07-22,"['actor', 'voice_actor', 'model']",68,1.78,,us,40000000,True
josh brolin,male,1968-02-12,"['actor', 'stock_trader', 'film_producer']",56,1.79,,us,45000000,True
miles teller,male,1987-02-20,['actor'],37,1.83,,us,10000000,True
owen wilson,male,1968-11-18,"['actor', 'screenwriter', 'film_producer', 'voice_actor']",55,1.79,,us,70000000,True
colin farrell,male,1976-05-31,"['actor', 'film_producer']",47,1.78,,ie,80000000,True
denzel washington,male,1954-12-28,"['actor', 'film_producer', 'film_director', 'spokesperson', 'voice_actor']",69,1.85,,us,250000000,True
frank grillo,male,1963-06-08,['actor'],60,1.79,,us,6000000,True
adam sandler,male,1966-09-09,"['screenwriter', 'film_producer', 'actor', 'television_producer', 'comedian', 'musician', 'songwriter', 'voice_actor']",57,1.77,,us,420000000,True
dustin hoffman,male,1937-08-08,"['actor', 'television_producer', 'film_producer', 'film_director', 'voice_actor']",86,1.67,,us,100000000,True
jane fonda,female,1937-12-21,"['actor', 'writer', 'model', 'activist', 'television_producer', 'film_producer']",86,1.73,,us,200000000,True
judy greer,female,1975-07-20,"['actor', 'voice_actor', 'television_producer']",48,1.78,,us,5000000,True
david attenborough,male,1926-05-08,"['actor', 'naturalist', 'television_producer', 'writer', 'presenter', 'environmentalist', 'screenwriter', 'broadcaster']",97,1.78,,gb,35000000,True
molly parker,female,1972-06-30,['actor'],51,1.65,,ca,2000000,True
thomas jane,male,1969-02-22,"['actor', 'film_director', 'comic_book_creator', 'voice_actor', 'writer', 'film_producer', 'screenwriter']",55,1.8,,us,16000000,True
joel edgerton,male,1974-06-23,"['actor', 'screenwriter', 'film_producer', 'film_director', 'writer']",49,1.8,,au,3000000,True
noomi rapace,female,1979-12-28,['actor'],44,1.63,,se,20000000,True
will smith,male,1968-09-25,"['actor', 'film_producer', 'record_producer', 'television_producer', 'rapper', 'screenwriter']",55,1.88,,us,350000000,True
will smith (nfl),male,1981-07-04,['american_football_player'],42,1.91,,us,13000000,True
chris hemsworth,male,1983-08-11,['actor'],40,1.9,,au,130000000,True
tom hiddleston,male,1981-02-09,"['actor', 'voice_actor']",43,1.87,,gb,25000000,True
ashley tisdale,female,1985-07-02,"['actor', 'spokesperson', 'voice_actor', 'television_producer', 'singer-songwriter', 'film_producer']",38,1.6,,us,10000000,True
vincent martella,male,1992-10-15,"['actor', 'singer', 'voice_actor']",31,1.65,,us,3000000,True
christopher abbott,male,,"['actor', 'film_producer']",,,,us,2000000,
imogen poots,female,1989-06-03,"['actor', 'model']",34,1.63,,gb,2000000,True
jon bernthal,male,1976-09-20,['actor'],47,1.78,,us,10000000,True
richard jenkins,male,1947-05-04,['actor'],76,1.85,,us,8000000,True
woody harrelson,male,1961-07-23,"['actor', 'businessperson', 'television_producer']",62,1.78,,us,70000000,True
christopher meloni,male,1961-04-02,['actor'],62,1.83,,us,30000000,True
freddie highmore,male,1992-02-14,"['actor', 'voice_actor']",32,1.78,,gb,8000000,True
odeya rush,female,1997-05-12,['actor'],26,1.61,,il,500000,True
shia labeouf,male,1986-06-11,"['actor', 'film_director', 'comedian', 'voice_actor', 'screenwriter', 'film_producer']",37,1.76,,us,25000000,True
stellan skarsgard,male,1951-06-13,"['actor', 'voice_actor', 'film_producer']",72,1.91,,se,40000000,True
bryan cranston,male,1956-03-07,"['actor', 'voice_actor', 'television_director', 'television_producer', 'screenwriter', 'film_producer', 'film_director', 'writer']",68,1.79,,us,40000000,True
laurence fishburne,male,1961-07-30,"['actor', 'playwright', 'film_producer', 'film_director', 'voice_actor', 'screenwriter']",62,1.84,,us,30000000,True
bill camp,male,,['actor'],,,,us,3000000,
joe cole,male,1981-11-08,['football_player'],42,1.75,,gb,45000000,True
miles teller,male,1987-02-20,['actor'],37,1.83,,us,10000000,True
luke evans,male,1979-04-15,['actor'],44,1.83,,gb,6000000,True
rebecca hall,female,1982-05-19,['actor'],41,1.75,,gb,7000000,True
domhnall gleeson,male,1983-05-12,"['actor', 'screenwriter', 'film_director']",40,1.85,,ie,7000000,True
kelly macdonald,female,1976-02-23,"['actor', 'voice_actor']",48,1.6,,gb,8000000,True
margot robbie,female,1990-07-02,['actor'],33,1.68,,au,26000000,True
douglas booth,male,1992-07-09,"['actor', 'model']",31,1.85,,gb,6000000,True
jerome flynn,male,1963-03-16,"['actor', 'singer']",61,1.83,,gb,3000000,True
harrison ford,male,1942-07-13,"['actor', 'film_producer', 'pilot', 'carpentry']",81,1.85,,us,300000000,True
ryan gosling,male,1980-11-12,"['actor', 'musician', 'restaurateur', 'film_director', 'screenwriter', 'film_producer', 'activist']",43,1.84,,ca,70000000,True
emily blunt,female,1983-02-23,['actor'],41,1.71,,gb,80000000,True
kristin chenoweth,female,1968-07-24,"['singer', 'actor', 'author', 'voice_actor']",55,1.5,,us,16000000,True
jackie chan,male,1954-04-07,"['actor', 'film_producer', 'film_director', 'stunt_performer', 'screenwriter', 'martial_artist', 'singer', 'television_producer', 'entrepreneur', 'comedian']",69,1.74,,hk,400000000,True
katie leung,female,1987-08-08,['actor'],36,1.64,,gb,5000000,True
chadwick boseman,male,1976-11-29,"['screenwriter', 'actor']",43,1.83,2020-08-28,us,12000000,False
josh gad,male,1981-02-23,"['actor', 'voice_actor', 'television_producer', 'screenwriter']",43,,,us,14000000,True
kate hudson,female,1979-04-19,"['actor', 'film_producer']",44,1.68,,us,80000000,True
kevin spacey,male,1959-07-26,"['actor', 'film_producer', 'screenwriter', 'film_director', 'television_producer', 'voice_actor', 'theatre_director']",64,1.79,,us,100000000,True
nicholas hoult,male,1989-12-07,"['actor', 'model', 'voice_actor']",34,1.9,,gb,8000000,True
victor garber,male,1949-03-16,"['actor', 'singer']",75,1.88,,ca,5000000,True
don johnson,male,1949-12-15,"['actor', 'television_director', 'television_producer', 'singer-songwriter', 'musician', 'film_producer', 'voice_actor']",74,1.8,,us,50000000,True
jennifer carpenter,female,1979-12-07,"['actor', 'voice_actor']",44,1.74,,us,8000000,True
vince vaughn,male,1970-03-28,"['actor', 'comedian', 'film_producer', 'screenwriter', 'television_producer']",53,1.96,,us,70000000,True
denzel washington,male,1954-12-28,"['actor', 'film_producer', 'film_director', 'spokesperson', 'voice_actor']",69,1.85,,us,250000000,True
diane lane,female,1965-01-22,['actor'],59,1.7,,us,40000000,True
liam neeson,male,1952-06-07,"['actor', 'voice_actor']",71,1.93,,us,145000000,True
emma stone,female,1988-11-06,"['actor', 'voice_actor', 'model']",35,1.68,,us,30000000,True
steve carell,male,1962-08-16,"['comedian', 'film_producer', 'actor', 'television_producer', 'voice_actor', 'screenwriter', 'television_director']",61,1.75,,us,80000000,True
samara weaving,,,,,,,,3000000,
steven yeun,male,1983-12-21,['actor'],40,1.75,,us,4000000,True
ben stiller,male,1965-11-30,"['comedian', 'actor', 'screenwriter', 'film_director', 'film_producer', 'television_director', 'television_producer', 'voice_actor']",58,1.7,,us,200000000,True
jenna fischer,female,1974-03-07,"['actor', 'television_producer', 'film_director']",50,1.64,,us,16000000,True
andrew garfield,male,1983-08-20,['actor'],40,1.79,,us,13000000,True
claire foy,,,,,,,,4000000,
hugh bonneville,male,1963-11-10,['actor'],60,1.87,,gb,8000000,True
bill skarsgard,male,1990-08-09,['actor'],33,1.92,,se,5000000,True
bill skarsgard,,,,,,,,5000000,
jaeden lieberher,,,,,,,,4000000,
idris elba,male,1972-09-06,"['actor', 'television_producer', 'singer', 'rapper', 'disc_jockey', 'film_producer']",51,1.9,,gb,30000000,True
kate winslet,female,1975-10-05,"['actor', 'singer', 'voice_actor']",48,1.69,,gb,65000000,True
tom hanks,male,1956-07-09,"['film_producer', 'screenwriter', 'television_producer', 'television_director', 'actor', 'voice_actor', 'film_director', 'motivational_speaker']",67,1.83,,us,400000000,True
dave franco,male,1985-06-12,"['actor', 'screenwriter', 'film_producer', 'musician']",38,1.7,,us,10000000,True
jackie chan,male,1954-04-07,"['actor', 'film_producer', 'film_director', 'stunt_performer', 'screenwriter', 'martial_artist', 'singer', 'television_producer', 'entrepreneur', 'comedian']",69,1.74,,hk,400000000,True
jake gyllenhaal,male,1980-12-19,"['actor', 'film_producer']",43,1.83,,us,80000000,True
tatiana maslany,female,1985-09-22,['actor'],38,1.63,,ca,3000000,True
judi dench,female,1934-12-09,"['actor', 'author', 'voice_actor', 'theatre_director', 'musician']",89,1.55,,gb,45000000,True
jared harris,male,1961-08-24,"['actor', 'voice_actor']",62,1.82,,gb,8000000,True
ed harris,male,1950-11-28,"['actor', 'screenwriter', 'film_director', 'film_producer', 'voice_actor']",73,1.75,,us,20000000,True
javier bardem,male,1969-03-01,"['actor', 'film_producer']",55,1.81,,es,20000000,True
jennifer lawrence,female,1990-08-15,"['actor', 'model', 'film_producer']",33,1.75,,us,160000000,True
katherine waterston,female,1980,['actor'],,,,us,1000000,
sara paxton,female,1988-04-25,"['singer', 'actor', 'model', 'artist', 'musician', 'music_artist']",35,1.7,,us,3000000,True
scott eastwood,male,1986-03-21,['actor'],37,,,us,10000000,True
mark rylance,male,1960-01-18,"['actor', 'theatre_director', 'playwright']",64,1.73,,gb,10000000,True
domhnall gleeson,male,1983-05-12,"['actor', 'screenwriter', 'film_director']",40,1.85,,ie,7000000,True
sarah wright,female,1983-09-28,"['actor', 'model']",40,1.75,,us,6000000,True
tom cruise,male,1962-07-03,"['actor', 'film_producer', 'screenwriter', 'television_director']",61,1.7,,us,600000000,True
kristin scott thomas,female,1960-05-24,['actor'],63,1.68,,fr,12000000,True
patricia clarkson,female,1959-12-29,"['actor', 'voice_actor']",64,1.64,,us,3000000,True
timothy spall,male,1957-02-27,"['actor', 'presenter', 'voice_actor']",67,1.7,,gb,4000000,True
anthony mackie,male,1978-09-23,"['actor', 'entrepreneur']",45,1.78,,us,8000000,True
john boyega,male,1992-03-17,['actor'],32,,,gb,6000000,True
colin firth,male,1960-09-10,"['actor', 'film_producer', 'screenwriter', 'voice_actor']",63,1.87,,gb,25000000,True
taron egerton,,,,,,,,6000000,
drew fuller,male,1980-05-19,"['actor', 'writer', 'model']",43,1.85,,us,1500000,True
justin chon,male,1981-05-29,"['actor', 'entrepreneur', 'film_director']",42,1.67,,us,5000000,True
joey lawrence,male,1976-04-20,"['actor', 'presenter', 'television_producer', 'voice_actor', 'record_producer', 'singer-songwriter']",47,1.73,,us,250000,True
edward furlong,male,1977-08-02,"['actor', 'model', 'musician']",46,1.7,,us,100000,True
willem dafoe,male,1955-07-22,"['actor', 'voice_actor', 'model']",68,1.78,,us,40000000,True
jude law,male,1972-12-29,"['actor', 'film_producer']",51,1.82,,gb,45000000,True
kate winslet,female,1975-10-05,"['actor', 'singer', 'voice_actor']",48,1.69,,gb,65000000,True
sean penn,male,1960-08-17,"['actor', 'film_director', 'film_producer', 'screenwriter', 'politician']",63,1.73,,us,70000000,True
katie mcgrath,female,1983-10-24,"['actor', 'journalist', 'makeup_artist', 'model']",40,1.65,,ie,4000000,True
roger moore,male,1927-10-14,"['actor', 'television_producer', 'film_producer', 'television_director', 'voice_actor', 'soldier']",89,1.85,2017-05-23,gb,110000000,False
sam heughan,male,1980-04-30,['actor'],43,1.92,,gb,5000000,True
adam west,male,1928-09-19,"['actor', 'voice_actor', 'presenter']",88,1.88,2017-06-09,us,8000000,False
burt ward,male,1945-07-06,['actor'],78,1.73,,us,20000000,True
james caan,male,1940-03-26,"['actor', 'singer', 'voice_actor']",83,1.76,,us,20000000,True
keir gilchrist,male,1992-09-28,['actor'],31,1.7,,ca,400000,True
dylan o'brien,male,1991-08-26,"['actor', 'musician']",32,1.8,,us,7000000,True
michael keaton,male,1951-09-05,"['actor', 'dancer', 'singer', 'comedian', 'voice_actor']",72,1.78,,us,40000000,True
chiwetel ejiofor,male,1977-07-10,"['actor', 'film_director', 'screenwriter']",46,1.78,,gb,12000000,True
joel edgerton,male,1974-06-23,"['actor', 'screenwriter', 'film_producer', 'film_director', 'writer']",49,1.8,,au,3000000,True
alicia vikander,female,1988-10-03,"['actor', 'dancer']",35,1.66,,se,8000000,True
dane dehaan,male,1986-02-06,['actor'],38,1.7,,us,750000,True
peter dinklage,male,1969-06-11,"['actor', 'voice_actor']",54,1.35,,us,25000000,True
adam driver,male,1983-11-19,['actor'],40,1.91,,us,16000000,True
channing tatum,male,1980-04-26,"['actor', 'film_producer', 'model', 'dancer', 'voice_actor']",43,1.85,,us,80000000,True
daniel craig,male,1968-03-02,"['actor', 'voice_actor']",56,1.78,,gb,160000000,True
gary oldman,male,1958-03-21,"['actor', 'musician', 'film_producer', 'film_director', 'screenwriter', 'voice_actor']",65,1.74,,gb,40000000,True
ryan reynolds,male,1976-10-23,"['actor', 'voice_actor', 'film_producer']",47,1.88,,ca,150000000,True
cara delevingne,female,1992-08-12,"['model', 'actor']",31,1.73,,gb,28000000,True
dane dehaan,male,1986-02-06,['actor'],38,1.7,,us,750000,True
harris dickinson,,,,,,,,3000000,
douglas booth,male,1992-07-09,"['actor', 'model']",31,1.85,,gb,6000000,True
olivia cooke,female,1993-12-27,['actor'],30,,,gb,2000000,True
camilla luddington,,,,,,,,2000000,
jonathan pryce,male,1947-06-01,"['actor', 'singer', 'salesman', 'voice_actor', 'film_score_composer']",76,1.83,,gb,5000000,True
kyle mooney,male,1984-09-04,['actor'],39,,,us,3000000,True
mark hamill,male,1951-09-25,"['actor', 'voice_actor', 'film_producer', 'writer', 'film_director', 'television_producer']",72,1.75,,us,18000000,True
jeremy renner,male,1971-01-07,"['actor', 'musician', 'singer-songwriter', 'film_producer', 'businessperson', 'voice_actor']",53,1.78,,us,80000000,True
julia jones,female,1981-01-23,['actor'],43,1.73,,us,1000000,True
charlize theron,female,1975-08-07,"['actor', 'model', 'film_producer', 'spokesperson', 'film_director']",48,1.77,,us,160000000,True
james mcavoy,male,1979-04-21,"['actor', 'voice_actor']",44,1.7,,gb,17000000,True
mandy patinkin,male,1952-11-30,"['actor', 'singer', 'comedian', 'voice_actor']",71,1.85,,us,12000000,True
maria valverde,female,1987-03-24,['actor'],36,1.64,,es,6000000,True
brie larson,female,1989-10-01,"['actor', 'singer-songwriter', 'musician', 'screenwriter', 'poet', 'film_director']",34,1.7,,us,25000000,True
woody harrelson,male,1961-07-23,"['actor', 'businessperson', 'television_producer']",62,1.78,,us,70000000,True
daniel radcliffe,male,1989-07-23,['actor'],34,1.65,,gb,110000000,True
aubrey plaza,female,1984-06-26,"['actor', 'comedian', 'voice_actor']",39,1.68,,us,6000000,True
elizabeth olsen,female,1989-02-16,"['actor', 'singer']",35,1.7,,us,11000000,True
cristela alonzo,,,,,,,,4000000,
owen wilson,male,1968-11-18,"['actor', 'screenwriter', 'film_producer', 'voice_actor']",55,1.79,,us,70000000,True
bailee madison,female,1999-10-15,"['actor', 'child_actor']",24,1.65,,us,6000000,True
lori loughlin,female,1964-07-28,"['actor', 'television_producer', 'model', 'screenwriter']",59,1.68,,us,70000000,True
cate blanchett,female,1969-05-14,"['actor', 'film_producer', 'voice_actor']",54,1.74,,au,95000000,True
ethan hawke,male,1970-11-06,"['actor', 'film_director', 'screenwriter', 'novelist', 'writer', 'theatre_director']",53,1.79,,us,55000000,True
kari matchett,female,1970-03-25,['actor'],53,1.68,,ca,3000000,True
sally hawkins,female,1976-04-27,['actor'],47,,,gb,4000000,True
gillian anderson,female,1968-08-09,"['actor', 'voice_actor', 'activist']",55,1.6,,us,40000000,True
hugh bonneville,male,1963-11-10,['actor'],60,1.87,,gb,8000000,True
alison brie,female,1982-12-29,"['actor', 'voice_actor']",41,1.6,,us,10000000,True
gerard butler,male,1969-11-13,"['actor', 'film_producer']",54,1.88,,gb,40000000,True
willem dafoe,male,1955-07-22,"['actor', 'voice_actor', 'model']",68,1.78,,us,40000000,True
andy serkis,male,1964-04-20,"['actor', 'voice_actor', 'author', 'film_director', 'film_producer']",59,1.73,,gb,28000000,True
woody harrelson,male,1961-07-23,"['actor', 'businessperson', 'television_producer']",62,1.78,,us,70000000,True
anthony lapaglia,male,1959-01-31,"['actor', 'voice_actor', 'film_producer']",65,1.78,,au,6000000,True
miranda otto,female,1967-12-16,['actor'],56,1.65,,au,4000000,True
colm feore,male,1958-08-22,"['actor', 'voice_actor']",65,1.82,,ca,3000000,True
jason clarke,male,1969-07-17,['actor'],54,1.87,,au,6000000,True
rosamund pike,female,1979-01-27,['actor'],45,1.74,,gb,9000000,True
annalynne mccord,female,1987-07-16,"['actor', 'model']",36,1.71,,us,5000000,True
matthew gray gubler,male,1980-03-09,"['actor', 'film_director', 'painter', 'fashion_model', 'photographer', 'television_director', 'screenwriter', 'film_producer', 'cinematographer', 'film_editor']",44,1.85,,us,10000000,True
queen latifah,female,1970-03-18,"['model', 'actor', 'record_producer', 'singer-songwriter', 'television_producer', 'comedian', 'rapper', 'film_producer', 'voice_actor', 'television_presenter']",54,1.78,,us,70000000,True
regina hall,female,1970-12-12,['actor'],53,1.63,,us,4000000,True
abbie cornish,female,1982-08-07,"['actor', 'model', 'voice_actor']",41,1.73,,au,8000000,True
jamie bell,male,1986-03-14,"['actor', 'dancer']",38,1.7,,gb,11000000,True
mark strong,male,1963-08-05,"['actor', 'voice_actor']",60,1.88,,gb,9000000,True
michael keaton,male,1951-09-05,"['actor', 'dancer', 'singer', 'comedian', 'voice_actor']",72,1.78,,us,40000000,True
tom hollander,male,1967-08-25,"['actor', 'television_producer', 'screenwriter']",56,1.65,,gb,5000000,True
tom holland,male,1996-06-01,"['film_director', 'actor', 'screenwriter', 'television_director', 'film_producer', 'television_producer']",27,,,,15000000,True
rooney mara,female,1985-04-17,['actor'],38,1.6,,us,16000000,True
john john florence,male,1992-10-18,"['actor', 'stunt_performer']",31,1.83,,us,12000000,True
martin freeman,male,1971-09-08,"['actor', 'voice_actor']",52,1.69,,gb,20000000,True
kirsten dunst,female,1982-04-30,"['actor', 'singer', 'model', 'voice_actor']",41,1.7,,us,25000000,True
nicole kidman,female,1967-06-20,"['singer', 'actor', 'film_producer']",56,1.8,,au,250000000,True
kenny aronoff,male,1953-03-07,['drummer'],71,,,us,10000000,True
ansel elgort,male,1994-03-14,,30,,,,12000000,True
jon bernthal,male,1976-09-20,['actor'],47,1.78,,us,10000000,True
jon hamm,male,1971-03-10,"['actor', 'television_producer', 'television_director', 'film_director', 'voice_actor', 'comedian']",53,1.88,,us,40000000,True
kristen stewart,female,1990-04-09,['actor'],33,1.65,,us,70000000,True
laura dern,female,1967-02-10,"['actor', 'television_producer', 'voice_actor', 'film_producer', 'film_director', 'screenwriter']",57,1.79,,us,20000000,True
michelle williams (destiny's child),female,1979-07-23,"['singer', 'actor', 'record_producer', 'dancer', 'songwriter']",44,1.75,,us,10000000,True
michelle williams,female,1980-09-09,['actor'],43,1.63,,us,30000000,True
michelle pfeiffer,female,1958-04-29,['actor'],65,1.71,,us,250000000,True
robert de niro,male,1943-08-17,"['actor', 'film_producer', 'film_director', 'voice_actor', 'television_producer']",80,1.77,,us,500000000,True
teresa palmer,female,1986-02-26,"['actor', 'model', 'film_producer']",38,1.67,,au,3000000,True
jaeden lieberher,,,,,,,,4000000,
naomi watts,female,1968-09-28,"['actor', 'film_producer', 'voice_actor']",55,1.64,,au,30000000,True
andy lau,male,1961-09-27,"['singer', 'actor', 'film_producer', 'presenter', 'songwriter', 'voice_actor']",62,1.75,,hk,70000000,True
casey affleck,male,1975-08-12,"['actor', 'film_director', 'screenwriter', 'film_producer', 'voice_actor', 'film_editor']",48,1.75,,us,20000000,True
rooney mara,female,1985-04-17,['actor'],38,1.6,,us,16000000,True
cate blanchett,female,1969-05-14,"['actor', 'film_producer', 'voice_actor']",54,1.74,,au,95000000,True
kristen wiig,female,1973-08-22,"['actor', 'comedian', 'screenwriter', 'film_producer', 'voice_actor', 'writer']",50,1.65,,us,25000000,True
steve carell,male,1962-08-16,"['comedian', 'film_producer', 'actor', 'television_producer', 'voice_actor', 'screenwriter', 'television_director']",61,1.75,,us,80000000,True
brian cox,male,1946-06-01,"['actor', 'voice_actor', 'theatre_director']",77,1.76,,gb,10000000,True
john slattery,male,1962-08-13,"['actor', 'television_director', 'voice_actor', 'screenwriter', 'film_director']",61,1.78,,us,10000000,True
miranda richardson,female,1958-03-03,"['actor', 'voice_actor']",66,1.65,,gb,8000000,True
frank welker,male,1946-03-12,"['voice_actor', 'actor']",78,1.73,,us,15000000,True
mindy cohn,female,1966-05-20,"['actor', 'voice_actor', 'comedian', 'singer']",57,,,us,1000000,True
geoffrey rush,male,1951-07-06,"['actor', 'film_producer', 'voice_actor', 'film_score_composer', 'musician']",72,1.83,,au,40000000,True
johnny depp,male,1963-06-09,"['actor', 'film_producer', 'musician', 'film_director', 'screenwriter', 'voice_actor', 'restaurateur', 'winemaker']",60,1.78,,us,150000000,True
krysten ritter,female,1981-12-16,"['actor', 'model', 'musician', 'guitarist', 'voice_actor', 'singer-songwriter', 'television_producer']",42,1.75,,us,7000000,True
laura prepon,female,1980-03-07,"['actor', 'model', 'film_producer', 'ballet_dancer', 'voice_actor']",44,1.78,,us,12000000,True
sam elliott,male,1944-08-09,"['actor', 'voice_actor', 'film_producer']",79,1.88,,us,10000000,True
holly hunter,female,1958-03-20,"['actor', 'voice_actor', 'television_producer']",66,1.57,,us,14000000,True
kumail nanjiani,male,1978-02-21,"['actor', 'stand-up_comedian', 'comedian', 'screenwriter']",46,,,pk,8000000,True
zoe kazan,female,1983-09-09,"['actor', 'screenwriter', 'playwright']",40,1.63,,us,3000000,True
burt bacharach,male,1928-05-12,"['songwriter', 'singer', 'composer', 'pianist', 'film_score_composer', 'record_producer', 'actor', 'music_arranger', 'conductor']",95,1.73,,us,160000000,True
whitney houston,female,1963-08-09,"['record_producer', 'singer', 'model', 'songwriter', 'film_producer', 'actor', 'musician', 'artist', 'music_artist']",48,1.73,2012-02-11,us,-20000000,False
chris pine,male,1980-08-26,"['actor', 'voice_actor']",43,1.83,,us,30000000,True
gal gadot,female,1985-04-30,"['actor', 'model']",38,1.78,,il,30000000,True
christopher abbott,male,,"['actor', 'film_producer']",,,,us,2000000,
joel edgerton,male,1974-06-23,"['actor', 'screenwriter', 'film_producer', 'film_director', 'writer']",49,1.8,,au,3000000,True
adam pally,male,1982-03-18,"['actor', 'television_director', 'screenwriter', 'comedian', 'film_producer']",42,1.79,,us,600000,True
fred armisen,male,1966-12-04,"['actor', 'screenwriter', 'comedian', 'film_score_composer', 'musician', 'television_producer', 'voice_actor']",57,1.75,,us,8000000,True
julian assange,male,1971-07-03,"['journalist', 'spokesperson', 'programmer', 'editor', 'hacker', 'film_producer', 'television_producer', 'television_director', 'screenwriter']",52,1.88,,au,400000,True
kevin hart,male,1979-07-06,"['actor', 'comedian', 'screenwriter', 'television_producer', 'film_producer']",44,1.63,,us,200000000,True
thomas middleditch,male,,"['actor', 'screenwriter']",,,,,7000000,
noomi rapace,female,1979-12-28,['actor'],44,1.63,,se,20000000,True
orlando bloom,male,1977-01-13,['actor'],47,1.8,,gb,40000000,True
toni collette,female,1972-11-01,"['actor', 'musician', 'singer', 'television_producer', 'film_producer', 'voice_actor']",51,1.73,,au,18000000,True
kate mara,female,1983-02-27,['actor'],41,1.6,,us,14000000,True
ramon rodriguez,male,1979-09-24,"['actor', 'model', 'dancer', 'writer']",44,,,us,3000000,True
john krasinski,male,1979-10-20,"['actor', 'television_producer', 'television_director', 'voice_actor', 'film_producer', 'film_director', 'screenwriter']",44,1.91,,us,80000000,True
holliday grainger,female,1988-03-27,['actor'],35,1.55,,gb,5000000,True
rachel weisz,female,1970-03-07,"['actor', 'fashion_model', 'voice_actor']",54,1.7,,us,36000000,True
allison janney,female,1959-11-19,"['actor', 'voice_actor', 'musician']",64,1.83,,us,14000000,True
ally sheedy,female,1962-06-13,"['actor', 'author']",61,1.65,,us,6000000,True
charlotte rampling,female,1946-02-05,"['actor', 'model']",78,1.7,,gb,15000000,True
