height,is_alive,nationality,net_worth,birthday,occupation,gender,name,age,death
1.69,False,us,250000,1929-01-15,"['writer', 'civil_rights_activist', 'minister_of_religion']",male,"martin luther king, jr.",39,1968-04-04
1.69,True,us,14000000,1955-06-16,"['actor', 'voice_actor', 'teacher']",female,laurie metcalf,68,
1.68,True,us,7000000,1994-04-12,['actor'],female,saoirse ronan,29,
,True,us,1000000,1965-07-04,"['screenwriter', 'playwright', 'actor']",male,tracy letts,58,
1.68,True,fr,20000000,1964-03-09,"['actor', 'artist', 'author', 'dancer', 'poet', 'designer', 'visual_artist', 'voice_actor']",female,juliette binoche,60,
1.75,True,us,3000000,1971-07-01,"['actor', 'model']",female,julianne nicholson,52,
,True,us,4000000,1951-07-18,"['actor', 'voice_actor']",female,margo martindale,72,
1.92,True,us,150000000,1972-08-15,"['actor', 'film_director', 'screenwriter', 'film_producer', 'television_producer', 'professional_poker_player', 'businessperson']",male,ben affleck,51,
1.78,True,il,30000000,1985-04-30,"['actor', 'model']",female,gal gadot,38,
1.87,True,us,18000000,1953-12-17,"['actor', 'voice_actor', 'film_director']",male,bill pullman,70,
1.89,True,us,40000000,1940-02-23,"['actor', 'writer', 'film_director', 'screenwriter', 'film_producer']",male,peter fonda,84,
1.8,True,ca,10000000,1956-08-12,"['actor', 'voice_actor', 'musician']",male,bruce greenwood,67,
1.74,True,us,8000000,1979-12-07,"['actor', 'voice_actor']",female,jennifer carpenter,44,
1.74,True,gb,40000000,1958-03-21,"['actor', 'musician', 'film_producer', 'film_director', 'screenwriter', 'voice_actor']",male,gary oldman,65,
1.68,True,fr,12000000,1960-05-24,['actor'],female,kristin scott thomas,63,
,True,gb,4000000,1989-04-05,['actor'],female,lily james,34,
1.7,True,us,120000000,1940-04-25,"['actor', 'film_director', 'film_producer', 'theatre_director']",male,al pacino,83,
1.8,True,us,4000000,1987-01-20,['actor'],male,evan peters,37,
1.75,True,us,40000000,1957-08-09,"['actor', 'model', 'voice_actor', 'film_producer']",female,melanie griffith,66,
1.4,True,us,3000000,1997-11-01,"['drummer', 'actor', 'songwriter', 'musician', 'composer', 'guitarist', 'keyboard_player']",male,alex wolff,26,
1.65,True,us,8000000,1969-05-25,"['actor', 'screenwriter', 'television_producer', 'television_director', 'voice_actor']",female,anne heche,54,
1.83,True,us,5000000,1995-12-29,"['actor', 'singer', 'dancer', 'musician']",male,ross lynch,28,
1.73,True,us,8000000,1983-11-07,"['film_producer', 'actor', 'screenwriter', 'television_producer', 'comedian', 'voice_actor']",male,adam devine,40,
1.73,True,us,8000000,1986-03-16,"['actor', 'model']",female,alexandra daddario,38,
1.72,True,us,1000000,1987-01-02,['actor'],female,shelley hennig,37,
,True,us,150000,1989-12-22,['actor'],male,logan huffman,34,
,True,gb,3000000,1983-03-10,['actor'],male,rafe spall,41,
1.93,True,gb,8000000,1964-05-25,['actor'],male,ray stevenson,59,
1.78,True,gb,2000000,1976-06-17,"['actor', 'martial_artist', 'stunt_performer']",male,scott adkins,47,
1.68,True,mx,12000000,1978-11-30,"['actor', 'film_producer', 'television_producer', 'film_director']",male,gael garcia bernal,45,
1.77,True,gb,60000000,1960-12-10,"['actor', 'film_director', 'film_producer', 'screenwriter', 'television_producer', 'voice_actor']",male,kenneth branagh,63,
1.68,True,es,75000000,1974-04-28,"['actor', 'businessperson', 'model', 'singer', 'designer', 'film_producer']",female,penelope cruz,49,
1.78,True,us,40000000,1955-07-22,"['actor', 'voice_actor', 'model']",male,willem dafoe,68,
1.91,True,gb,10000000,1934-01-20,"['actor', 'comedian']",male,tom baker,90,
1.73,True,us,300000000,1971-06-05,"['film_producer', 'actor', 'model', 'musician', 'rapper', 'television_producer', 'singer', 'film_score_composer', 'songwriter']",male,mark wahlberg,52,
1.91,True,us,160000000,1967-07-16,"['actor', 'film_producer', 'screenwriter', 'comedian', 'television_producer', 'impressionist', 'voice_actor', 'singer']",male,will ferrell,56,
1.78,True,us,40000000,1955-07-22,"['actor', 'voice_actor', 'model']",male,willem dafoe,68,
1.79,True,us,45000000,1968-02-12,"['actor', 'stock_trader', 'film_producer']",male,josh brolin,56,
1.83,True,us,10000000,1987-02-20,['actor'],male,miles teller,37,
1.79,True,us,70000000,1968-11-18,"['actor', 'screenwriter', 'film_producer', 'voice_actor']",male,owen wilson,55,
1.78,True,ie,80000000,1976-05-31,"['actor', 'film_producer']",male,colin farrell,47,
1.85,True,us,250000000,1954-12-28,"['actor', 'film_producer', 'film_director', 'spokesperson', 'voice_actor']",male,denzel washington,69,
1.79,True,us,6000000,1963-06-08,['actor'],male,frank grillo,60,
1.77,True,us,420000000,1966-09-09,"['screenwriter', 'film_producer', 'actor', 'television_producer', 'comedian', 'musician', 'songwriter', 'voice_actor']",male,adam sandler,57,
1.67,True,us,100000000,1937-08-08,"['actor', 'television_producer', 'film_producer', 'film_director', 'voice_actor']",male,dustin hoffman,86,
1.73,True,us,200000000,1937-12-21,"['actor', 'writer', 'model', 'activist', 'television_producer', 'film_producer']",female,jane fonda,86,
1.78,True,us,5000000,1975-07-20,"['actor', 'voice_actor', 'television_producer']",female,judy greer,48,
1.78,True,gb,35000000,1926-05-08,"['actor', 'naturalist', 'television_producer', 'writer', 'presenter', 'environmentalist', 'screenwriter', 'broadcaster']",male,david attenborough,97,
1.65,True,ca,2000000,1972-06-30,['actor'],female,molly parker,51,
1.8,True,us,16000000,1969-02-22,"['actor', 'film_director', 'comic_book_creator', 'voice_actor', 'writer', 'film_producer', 'screenwriter']",male,thomas jane,55,
1.8,True,au,3000000,1974-06-23,"['actor', 'screenwriter', 'film_producer', 'film_director', 'writer']",male,joel edgerton,49,
1.63,True,se,20000000,1979-12-28,['actor'],female,noomi rapace,44,
1.88,True,us,350000000,1968-09-25,"['actor', 'film_producer', 'record_producer', 'television_producer', 'rapper', 'screenwriter']",male,will smith,55,
1.91,True,us,13000000,1981-07-04,['american_football_player'],male,will smith (nfl),42,
1.9,True,au,130000000,1983-08-11,['actor'],male,chris hemsworth,40,
1.87,True,gb,25000000,1981-02-09,"['actor', 'voice_actor']",male,tom hiddleston,43,
1.6,True,us,10000000,1985-07-02,"['actor', 'spokesperson', 'voice_actor', 'television_producer', 'singer-songwriter', 'film_producer']",female,ashley tisdale,38,
1.65,True,us,3000000,1992-10-15,"['actor', 'singer', 'voice_actor']",male,vincent martella,31,
,,us,2000000,,"['actor', 'film_producer']",male,christopher abbott,,
1.63,True,gb,2000000,1989-06-03,"['actor', 'model']",female,imogen poots,34,
1.78,True,us,10000000,1976-09-20,['actor'],male,jon bernthal,47,
1.85,True,us,8000000,1947-05-04,['actor'],male,richard jenkins,76,
1.78,True,us,70000000,1961-07-23,"['actor', 'businessperson', 'television_producer']",male,woody harrelson,62,
1.83,True,us,30000000,1961-04-02,['actor'],male,christopher meloni,62,
1.78,True,gb,8000000,1992-02-14,"['actor', 'voice_actor']",male,freddie highmore,32,
1.61,True,il,500000,1997-05-12,['actor'],female,odeya rush,26,
1.76,True,us,25000000,1986-06-11,"['actor', 'film_director', 'comedian', 'voice_actor', 'screenwriter', 'film_producer']",male,shia labeouf,37,
1.91,True,se,40000000,1951-06-13,"['actor', 'voice_actor', 'film_producer']",male,stellan skarsgard,72,
1.79,True,us,40000000,1956-03-07,"['actor', 'voice_actor', 'television_director', 'television_producer', 'screenwriter', 'film_producer', 'film_director', 'writer']",male,bryan cranston,68,
1.84,True,us,30000000,1961-07-30,"['actor', 'playwright', 'film_producer', 'film_director', 'voice_actor', 'screenwriter']",male,laurence fishburne,62,
,,us,3000000,,['actor'],male,bill camp,,
1.75,True,gb,45000000,1981-11-08,['football_player'],male,joe cole,42,
1.83,True,us,10000000,1987-02-20,['actor'],male,miles teller,37,
1.83,True,gb,6000000,1979-04-15,['actor'],male,luke evans,44,
1.75,True,gb,7000000,1982-05-19,['actor'],female,rebecca hall,41,
1.85,True,ie,7000000,1983-05-12,"['actor', 'screenwriter', 'film_director']",male,domhnall gleeson,40,
1.6,True,gb,8000000,1976-02-23,"['actor', 'voice_actor']",female,kelly macdonald,48,
1.68,True,au,26000000,1990-07-02,['actor'],female,margot robbie,33,
1.85,True,gb,6000000,1992-07-09,"['actor', 'model']",male,douglas booth,31,
1.83,True,gb,3000000,1963-03-16,"['actor', 'singer']",male,jerome flynn,61,
1.85,True,us,300000000,1942-07-13,"['actor', 'film_producer', 'pilot', 'carpentry']",male,harrison ford,81,
1.84,True,ca,70000000,1980-11-12,"['actor', 'musician', 'restaurateur', 'film_director', 'screenwriter', 'film_producer', 'activist']",male,ryan gosling,43,
1.71,True,gb,80000000,1983-02-23,['actor'],female,emily blunt,41,
1.5,True,us,16000000,1968-07-24,"['singer', 'actor', 'author', 'voice_actor']",female,kristin chenoweth,55,
1.74,True,hk,400000000,1954-04-07,"['actor', 'film_producer', 'film_director', 'stunt_performer', 'screenwriter', 'martial_artist', 'singer', 'television_producer', 'entrepreneur', 'comedian']",male,jackie chan,69,
1.64,True,gb,5000000,1987-08-08,['actor'],female,katie leung,36,
1.83,False,us,12000000,1976-11-29,"['screenwriter', 'actor']",male,chadwick boseman,43,2020-08-28
,True,us,14000000,1981-02-23,"['actor', 'voice_actor', 'television_producer', 'screenwriter']",male,josh gad,43,
1.68,True,us,80000000,1979-04-19,"['actor', 'film_producer']",female,kate hudson,44,
1.79,True,us,100000000,1959-07-26,"['actor', 'film_producer', 'screenwriter', 'film_director', 'television_producer', 'voice_actor', 'theatre_director']",male,kevin spacey,64,
1.9,True,gb,8000000,1989-12-07,"['actor', 'model', 'voice_actor']",male,nicholas hoult,34,
1.88,True,ca,5000000,1949-03-16,"['actor', 'singer']",male,victor garber,75,
1.8,True,us,50000000,1949-12-15,"['actor', 'television_director', 'television_producer', 'singer-songwriter', 'musician', 'film_producer', 'voice_actor']",male,don johnson,74,
1.74,True,us,8000000,1979-12-07,"['actor', 'voice_actor']",female,jennifer carpenter,44,
1.96,True,us,70000000,1970-03-28,"['actor', 'comedian', 'film_producer', 'screenwriter', 'television_producer']",male,vince vaughn,53,
1.85,True,us,250000000,1954-12-28,"['actor', 'film_producer', 'film_director', 'spokesperson', 'voice_actor']",male,denzel washington,69,
1.7,True,us,40000000,1965-01-22,['actor'],female,diane lane,59,
1.93,True,us,145000000,1952-06-07,"['actor', 'voice_actor']",male,liam neeson,71,
1.68,True,us,30000000,1988-11-06,"['actor', 'voice_actor', 'model']",female,emma stone,35,
1.75,True,us,80000000,1962-08-16,"['comedian', 'film_producer', 'actor', 'television_producer', 'voice_actor', 'screenwriter', 'television_director']",male,steve carell,61,
,,,3000000,,,,samara weaving,,
1.75,True,us,4000000,1983-12-21,['actor'],male,steven yeun,40,
1.7,True,us,200000000,1965-11-30,"['comedian', 'actor', 'screenwriter', 'film_director', 'film_producer', 'television_director', 'television_producer', 'voice_actor']",male,ben stiller,58,
1.64,True,us,16000000,1974-03-07,"['actor', 'television_producer', 'film_director']",female,jenna fischer,50,
1.79,True,us,13000000,1983-08-20,['actor'],male,andrew garfield,40,
,,,4000000,,,,claire foy,,
1.87,True,gb,8000000,1963-11-10,['actor'],male,hugh bonneville,60,
1.92,True,se,5000000,1990-08-09,['actor'],male,bill skarsgard,33,
,,,5000000,,,,bill skarsgard,,
,,,4000000,,,,jaeden lieberher,,
1.9,True,gb,30000000,1972-09-06,"['actor', 'television_producer', 'singer', 'rapper', 'disc_jockey', 'film_producer']",male,idris elba,51,
1.69,True,gb,65000000,1975-10-05,"['actor', 'singer', 'voice_actor']",female,kate winslet,48,
1.83,True,us,400000000,1956-07-09,"['film_producer', 'screenwriter', 'television_producer', 'television_director', 'actor', 'voice_actor', 'film_director', 'motivational_speaker']",male,tom hanks,67,
1.7,True,us,10000000,1985-06-12,"['actor', 'screenwriter', 'film_producer', 'musician']",male,dave franco,38,
1.74,True,hk,400000000,1954-04-07,"['actor', 'film_producer', 'film_director', 'stunt_performer', 'screenwriter', 'martial_artist', 'singer', 'television_producer', 'entrepreneur', 'comedian']",male,jackie chan,69,
1.83,True,us,80000000,1980-12-19,"['actor', 'film_producer']",male,jake gyllenhaal,43,
1.63,True,ca,3000000,1985-09-22,['actor'],female,tatiana maslany,38,
1.55,True,gb,45000000,1934-12-09,"['actor', 'author', 'voice_actor', 'theatre_director', 'musician']",female,judi dench,89,
1.82,True,gb,8000000,1961-08-24,"['actor', 'voice_actor']",male,jared harris,62,
1.75,True,us,20000000,1950-11-28,"['actor', 'screenwriter', 'film_director', 'film_producer', 'voice_actor']",male,ed harris,73,
1.81,True,es,20000000,1969-03-01,"['actor', 'film_producer']",male,javier bardem,55,
1.75,True,us,160000000,1990-08-15,"['actor', 'model', 'film_producer']",female,jennifer lawrence,33,
,,us,1000000,1980,['actor'],female,katherine waterston,,
1.7,True,us,3000000,1988-04-25,"['singer', 'actor', 'model', 'artist', 'musician', 'music_artist']",female,sara paxton,35,
,True,us,10000000,1986-03-21,['actor'],male,scott eastwood,37,
1.73,True,gb,10000000,1960-01-18,"['actor', 'theatre_director', 'playwright']",male,mark rylance,64,
1.85,True,ie,7000000,1983-05-12,"['actor', 'screenwriter', 'film_director']",male,domhnall gleeson,40,
1.75,True,us,6000000,1983-09-28,"['actor', 'model']",female,sarah wright,40,
1.7,True,us,600000000,1962-07-03,"['actor', 'film_producer', 'screenwriter', 'television_director']",male,tom cruise,61,
1.68,True,fr,12000000,1960-05-24,['actor'],female,kristin scott thomas,63,
1.64,True,us,3000000,1959-12-29,"['actor', 'voice_actor']",female,patricia clarkson,64,
1.7,True,gb,4000000,1957-02-27,"['actor', 'presenter', 'voice_actor']",male,timothy spall,67,
1.78,True,us,8000000,1978-09-23,"['actor', 'entrepreneur']",male,anthony mackie,45,
,True,gb,6000000,1992-03-17,['actor'],male,john boyega,32,
1.87,True,gb,25000000,1960-09-10,"['actor', 'film_producer', 'screenwriter', 'voice_actor']",male,colin firth,63,
,,,6000000,,,,taron egerton,,
1.85,True,us,1500000,1980-05-19,"['actor', 'writer', 'model']",male,drew fuller,43,
1.67,True,us,5000000,1981-05-29,"['actor', 'entrepreneur', 'film_director']",male,justin chon,42,
1.73,True,us,250000,1976-04-20,"['actor', 'presenter', 'television_producer', 'voice_actor', 'record_producer', 'singer-songwriter']",male,joey lawrence,47,
1.7,True,us,100000,1977-08-02,"['actor', 'model', 'musician']",male,edward furlong,46,
1.78,True,us,40000000,1955-07-22,"['actor', 'voice_actor', 'model']",male,willem dafoe,68,
1.82,True,gb,45000000,1972-12-29,"['actor', 'film_producer']",male,jude law,51,
1.69,True,gb,65000000,1975-10-05,"['actor', 'singer', 'voice_actor']",female,kate winslet,48,
1.73,True,us,70000000,1960-08-17,"['actor', 'film_director', 'film_producer', 'screenwriter', 'politician']",male,sean penn,63,
1.65,True,ie,4000000,1983-10-24,"['actor', 'journalist', 'makeup_artist', 'model']",female,katie mcgrath,40,
1.85,False,gb,110000000,1927-10-14,"['actor', 'television_producer', 'film_producer', 'television_director', 'voice_actor', 'soldier']",male,roger moore,89,2017-05-23
1.92,True,gb,5000000,1980-04-30,['actor'],male,sam heughan,43,
1.88,False,us,8000000,1928-09-19,"['actor', 'voice_actor', 'presenter']",male,adam west,88,2017-06-09
1.73,True,us,20000000,1945-07-06,['actor'],male,burt ward,78,
1.76,True,us,20000000,1940-03-26,"['actor', 'singer', 'voice_actor']",male,james caan,83,
1.7,True,ca,400000,1992-09-28,['actor'],male,keir gilchrist,31,
1.8,True,us,7000000,1991-08-26,"['actor', 'musician']",male,dylan o'brien,32,
1.78,True,us,40000000,1951-09-05,"['actor', 'dancer', 'singer', 'comedian', 'voice_actor']",male,michael keaton,72,
1.78,True,gb,12000000,1977-07-10,"['actor', 'film_director', 'screenwriter']",male,chiwetel ejiofor,46,
1.8,True,au,3000000,1974-06-23,"['actor', 'screenwriter', 'film_producer', 'film_director', 'writer']",male,joel edgerton,49,
1.66,True,se,8000000,1988-10-03,"['actor', 'dancer']",female,alicia vikander,35,
1.7,True,us,750000,1986-02-06,['actor'],male,dane dehaan,38,
1.35,True,us,25000000,1969-06-11,"['actor', 'voice_actor']",male,peter dinklage,54,
1.91,True,us,16000000,1983-11-19,['actor'],male,adam driver,40,
1.85,True,us,80000000,1980-04-26,"['actor', 'film_producer', 'model', 'dancer', 'voice_actor']",male,channing tatum,43,
1.78,True,gb,160000000,1968-03-02,"['actor', 'voice_actor']",male,daniel craig,56,
1.74,True,gb,40000000,1958-03-21,"['actor', 'musician', 'film_producer', 'film_director', 'screenwriter', 'voice_actor']",male,gary oldman,65,
1.88,True,ca,150000000,1976-10-23,"['actor', 'voice_actor', 'film_producer']",male,ryan reynolds,47,
1.73,True,gb,28000000,1992-08-12,"['model', 'actor']",female,cara delevingne,31,
1.7,True,us,750000,1986-02-06,['actor'],male,dane dehaan,38,
,,,3000000,,,,harris dickinson,,
1.85,True,gb,6000000,1992-07-09,"['actor', 'model']",male,douglas booth,31,
,True,gb,2000000,1993-12-27,['actor'],female,olivia cooke,30,
,,,2000000,,,,camilla luddington,,
1.83,True,gb,5000000,1947-06-01,"['actor', 'singer', 'salesman', 'voice_actor', 'film_score_composer']",male,jonathan pryce,76,
,True,us,3000000,1984-09-04,['actor'],male,kyle mooney,39,
1.75,True,us,18000000,1951-09-25,"['actor', 'voice_actor', 'film_producer', 'writer', 'film_director', 'television_producer']",male,mark hamill,72,
1.78,True,us,80000000,1971-01-07,"['actor', 'musician', 'singer-songwriter', 'film_producer', 'businessperson', 'voice_actor']",male,jeremy renner,53,
1.73,True,us,1000000,1981-01-23,['actor'],female,julia jones,43,
1.77,True,us,160000000,1975-08-07,"['actor', 'model', 'film_producer', 'spokesperson', 'film_director']",female,charlize theron,48,
1.7,True,gb,17000000,1979-04-21,"['actor', 'voice_actor']",male,james mcavoy,44,
1.85,True,us,12000000,1952-11-30,"['actor', 'singer', 'comedian', 'voice_actor']",male,mandy patinkin,71,
1.64,True,es,6000000,1987-03-24,['actor'],female,maria valverde,36,
1.7,True,us,25000000,1989-10-01,"['actor', 'singer-songwriter', 'musician', 'screenwriter', 'poet', 'film_director']",female,brie larson,34,
1.78,True,us,70000000,1961-07-23,"['actor', 'businessperson', 'television_producer']",male,woody harrelson,62,
1.65,True,gb,110000000,1989-07-23,['actor'],male,daniel radcliffe,34,
1.68,True,us,6000000,1984-06-26,"['actor', 'comedian', 'voice_actor']",female,aubrey plaza,39,
1.7,True,us,11000000,1989-02-16,"['actor', 'singer']",female,elizabeth olsen,35,
,,,4000000,,,,cristela alonzo,,
1.79,True,us,70000000,1968-11-18,"['actor', 'screenwriter', 'film_producer', 'voice_actor']",male,owen wilson,55,
1.65,True,us,6000000,1999-10-15,"['actor', 'child_actor']",female,bailee madison,24,
1.68,True,us,70000000,1964-07-28,"['actor', 'television_producer', 'model', 'screenwriter']",female,lori loughlin,59,
1.74,True,au,95000000,1969-05-14,"['actor', 'film_producer', 'voice_actor']",female,cate blanchett,54,
1.79,True,us,55000000,1970-11-06,"['actor', 'film_director', 'screenwriter', 'novelist', 'writer', 'theatre_director']",male,ethan hawke,53,
1.68,True,ca,3000000,1970-03-25,['actor'],female,kari matchett,53,
,True,gb,4000000,1976-04-27,['actor'],female,sally hawkins,47,
1.6,True,us,40000000,1968-08-09,"['actor', 'voice_actor', 'activist']",female,gillian anderson,55,
1.87,True,gb,8000000,1963-11-10,['actor'],male,hugh bonneville,60,
1.6,True,us,10000000,1982-12-29,"['actor', 'voice_actor']",female,alison brie,41,
1.88,True,gb,40000000,1969-11-13,"['actor', 'film_producer']",male,gerard butler,54,
1.78,True,us,40000000,1955-07-22,"['actor', 'voice_actor', 'model']",male,willem dafoe,68,
1.73,True,gb,28000000,1964-04-20,"['actor', 'voice_actor', 'author', 'film_director', 'film_producer']",male,andy serkis,59,
1.78,True,us,70000000,1961-07-23,"['actor', 'businessperson', 'television_producer']",male,woody harrelson,62,
1.78,True,au,6000000,1959-01-31,"['actor', 'voice_actor', 'film_producer']",male,anthony lapaglia,65,
1.65,True,au,4000000,1967-12-16,['actor'],female,miranda otto,56,
1.82,True,ca,3000000,1958-08-22,"['actor', 'voice_actor']",male,colm feore,65,
1.87,True,au,6000000,1969-07-17,['actor'],male,jason clarke,54,
1.74,True,gb,9000000,1979-01-27,['actor'],female,rosamund pike,45,
1.71,True,us,5000000,1987-07-16,"['actor', 'model']",female,annalynne mccord,36,
1.85,True,us,10000000,1980-03-09,"['actor', 'film_director', 'painter', 'fashion_model', 'photographer', 'television_director', 'screenwriter', 'film_producer', 'cinematographer', 'film_editor']",male,matthew gray gubler,44,
1.78,True,us,70000000,1970-03-18,"['model', 'actor', 'record_producer', 'singer-songwriter', 'television_producer', 'comedian', 'rapper', 'film_producer', 'voice_actor', 'television_presenter']",female,queen latifah,54,
1.63,True,us,4000000,1970-12-12,['actor'],female,regina hall,53,
1.73,True,au,8000000,1982-08-07,"['actor', 'model', 'voice_actor']",female,abbie cornish,41,
1.7,True,gb,11000000,1986-03-14,"['actor', 'dancer']",male,jamie bell,38,
1.88,True,gb,9000000,1963-08-05,"['actor', 'voice_actor']",male,mark strong,60,
1.78,True,us,40000000,1951-09-05,"['actor', 'dancer', 'singer', 'comedian', 'voice_actor']",male,michael keaton,72,
1.65,True,gb,5000000,1967-08-25,"['actor', 'television_producer', 'screenwriter']",male,tom hollander,56,
,True,,15000000,1996-06-01,"['film_director', 'actor', 'screenwriter', 'television_director', 'film_producer', 'television_producer']",male,tom holland,27,
1.6,True,us,16000000,1985-04-17,['actor'],female,rooney mara,38,
1.83,True,us,12000000,1992-10-18,"['actor', 'stunt_performer']",male,john john florence,31,
1.69,True,gb,20000000,1971-09-08,"['actor', 'voice_actor']",male,martin freeman,52,
1.7,True,us,25000000,1982-04-30,"['actor', 'singer', 'model', 'voice_actor']",female,kirsten dunst,41,
1.8,True,au,250000000,1967-06-20,"['singer', 'actor', 'film_producer']",female,nicole kidman,56,
,True,us,10000000,1953-03-07,['drummer'],male,kenny aronoff,71,
,True,,12000000,1994-03-14,,male,ansel elgort,30,
1.78,True,us,10000000,1976-09-20,['actor'],male,jon bernthal,47,
1.88,True,us,40000000,1971-03-10,"['actor', 'television_producer', 'television_director', 'film_director', 'voice_actor', 'comedian']",male,jon hamm,53,
1.65,True,us,70000000,1990-04-09,['actor'],female,kristen stewart,33,
1.79,True,us,20000000,1967-02-10,"['actor', 'television_producer', 'voice_actor', 'film_producer', 'film_director', 'screenwriter']",female,laura dern,57,
1.75,True,us,10000000,1979-07-23,"['singer', 'actor', 'record_producer', 'dancer', 'songwriter']",female,michelle williams (destiny's child),44,
1.63,True,us,30000000,1980-09-09,['actor'],female,michelle williams,43,
1.71,True,us,250000000,1958-04-29,['actor'],female,michelle pfeiffer,65,
1.77,True,us,500000000,1943-08-17,"['actor', 'film_producer', 'film_director', 'voice_actor', 'television_producer']",male,robert de niro,80,
1.67,True,au,3000000,1986-02-26,"['actor', 'model', 'film_producer']",female,teresa palmer,38,
,,,4000000,,,,jaeden lieberher,,
1.64,True,au,30000000,1968-09-28,"['actor', 'film_producer', 'voice_actor']",female,naomi watts,55,
1.75,True,hk,70000000,1961-09-27,"['singer', 'actor', 'film_producer', 'presenter', 'songwriter', 'voice_actor']",male,andy lau,62,
1.75,True,us,20000000,1975-08-12,"['actor', 'film_director', 'screenwriter', 'film_producer', 'voice_actor', 'film_editor']",male,casey affleck,48,
1.6,True,us,16000000,1985-04-17,['actor'],female,rooney mara,38,
1.74,True,au,95000000,1969-05-14,"['actor', 'film_producer', 'voice_actor']",female,cate blanchett,54,
1.65,True,us,25000000,1973-08-22,"['actor', 'comedian', 'screenwriter', 'film_producer', 'voice_actor', 'writer']",female,kristen wiig,50,
1.75,True,us,80000000,1962-08-16,"['comedian', 'film_producer', 'actor', 'television_producer', 'voice_actor', 'screenwriter', 'television_director']",male,steve carell,61,
1.76,True,gb,10000000,1946-06-01,"['actor', 'voice_actor', 'theatre_director']",male,brian cox,77,
1.78,True,us,10000000,1962-08-13,"['actor', 'television_director', 'voice_actor', 'screenwriter', 'film_director']",male,john slattery,61,
1.65,True,gb,8000000,1958-03-03,"['actor', 'voice_actor']",female,miranda richardson,66,
1.73,True,us,15000000,1946-03-12,"['voice_actor', 'actor']",male,frank welker,78,
,True,us,1000000,1966-05-20,"['actor', 'voice_actor', 'comedian', 'singer']",female,mindy cohn,57,
1.83,True,au,40000000,1951-07-06,"['actor', 'film_producer', 'voice_actor', 'film_score_composer', 'musician']",male,geoffrey rush,72,
1.78,True,us,150000000,1963-06-09,"['actor', 'film_producer', 'musician', 'film_director', 'screenwriter', 'voice_actor', 'restaurateur', 'winemaker']",male,johnny depp,60,
1.75,True,us,7000000,1981-12-16,"['actor', 'model', 'musician', 'guitarist', 'voice_actor', 'singer-songwriter', 'television_producer']",female,krysten ritter,42,
1.78,True,us,12000000,1980-03-07,"['actor', 'model', 'film_producer', 'ballet_dancer', 'voice_actor']",female,laura prepon,44,
1.88,True,us,10000000,1944-08-09,"['actor', 'voice_actor', 'film_producer']",male,sam elliott,79,
1.57,True,us,14000000,1958-03-20,"['actor', 'voice_actor', 'television_producer']",female,holly hunter,66,
,True,pk,8000000,1978-02-21,"['actor', 'stand-up_comedian', 'comedian', 'screenwriter']",male,kumail nanjiani,46,
1.63,True,us,3000000,1983-09-09,"['actor', 'screenwriter', 'playwright']",female,zoe kazan,40,
1.73,True,us,160000000,1928-05-12,"['songwriter', 'singer', 'composer', 'pianist', 'film_score_composer', 'record_producer', 'actor', 'music_arranger', 'conductor']",male,burt bacharach,95,
1.73,False,us,-20000000,1963-08-09,"['record_producer', 'singer', 'model', 'songwriter', 'film_producer', 'actor', 'musician', 'artist', 'music_artist']",female,whitney houston,48,2012-02-11
1.83,True,us,30000000,1980-08-26,"['actor', 'voice_actor']",male,chris pine,43,
1.78,True,il,30000000,1985-04-30,"['actor', 'model']",female,gal gadot,38,
,,us,2000000,,"['actor', 'film_producer']",male,christopher abbott,,
1.8,True,au,3000000,1974-06-23,"['actor', 'screenwriter', 'film_producer', 'film_director', 'writer']",male,joel edgerton,49,
1.79,True,us,600000,1982-03-18,"['actor', 'television_director', 'screenwriter', 'comedian', 'film_producer']",male,adam pally,42,
1.75,True,us,8000000,1966-12-04,"['actor', 'screenwriter', 'comedian', 'film_score_composer', 'musician', 'television_producer', 'voice_actor']",male,fred armisen,57,
1.88,True,au,400000,1971-07-03,"['journalist', 'spokesperson', 'programmer', 'editor', 'hacker', 'film_producer', 'television_producer', 'television_director', 'screenwriter']",male,julian assange,52,
1.63,True,us,200000000,1979-07-06,"['actor', 'comedian', 'screenwriter', 'television_producer', 'film_producer']",male,kevin hart,44,
,,,7000000,,"['actor', 'screenwriter']",male,thomas middleditch,,
1.63,True,se,20000000,1979-12-28,['actor'],female,noomi rapace,44,
1.8,True,gb,40000000,1977-01-13,['actor'],male,orlando bloom,47,
1.73,True,au,18000000,1972-11-01,"['actor', 'musician', 'singer', 'television_producer', 'film_producer', 'voice_actor']",female,toni collette,51,
1.6,True,us,14000000,1983-02-27,['actor'],female,kate mara,41,
,True,us,3000000,1979-09-24,"['actor', 'model', 'dancer', 'writer']",male,ramon rodriguez,44,
1.91,True,us,80000000,1979-10-20,"['actor', 'television_producer', 'television_director', 'voice_actor', 'film_producer', 'film_director', 'screenwriter']",male,john krasinski,44,
1.55,True,gb,5000000,1988-03-27,['actor'],female,holliday grainger,35,
1.7,True,us,36000000,1970-03-07,"['actor', 'fashion_model', 'voice_actor']",female,rachel weisz,54,
1.83,True,us,14000000,1959-11-19,"['actor', 'voice_actor', 'musician']",female,allison janney,64,
1.65,True,us,6000000,1962-06-13,"['actor', 'author']",female,ally sheedy,61,
1.7,True,gb,15000000,1946-02-05,"['actor', 'model']",female,charlotte rampling,78,
