name,gender,birthday,actorID,age,height,death,nationality,net_worth,is_alive,id,occupation
salma hayek,female,1966-09-02,10567,57.0,1.57,,mx,200000000,True,837,"['actor', 'singer', 'television_producer', 'film_producer', 'film_director', 'voice_actor', 'social_activist', 'model', 'spokesperson', 'businessperson']"
maggie smith,female,,10568,,,,,18000000,,838,
tom hiddleston,male,1981-02-09,10569,43.0,1.87,,gb,25000000,True,839,"['actor', 'voice_actor']"
michelle williams (destiny's child),female,1979-07-23,10570,44.0,1.75,,us,10000000,True,841,"['singer', 'actor', 'record_producer', 'dancer', 'songwriter']"
michelle williams,female,1980-09-09,10571,43.0,1.63,,us,30000000,True,841,['actor']
noah schnapp,,,10572,,,,,3000000,,842,
james mcavoy,male,1979-04-21,10573,44.0,1.7,,gb,17000000,True,843,"['actor', 'voice_actor']"
thomas jane,male,1969-02-22,10574,55.0,1.8,,us,16000000,True,844,"['actor', 'film_director', 'comic_book_creator', 'voice_actor', 'writer', 'film_producer', 'screenwriter']"
kate winslet,female,1975-10-05,10575,48.0,1.69,,gb,65000000,True,847,"['actor', 'singer', 'voice_actor']"
owen wilson,male,1968-11-18,10576,55.0,1.79,,us,70000000,True,848,"['actor', 'screenwriter', 'film_producer', 'voice_actor']"
cillian murphy,male,1976-05-25,10577,47.0,1.75,,ie,20000000,True,849,"['actor', 'musician']"
roger allam,male,1953-10-26,10578,70.0,1.82,,gb,5000000,True,850,['actor']
saoirse ronan,female,1994-04-12,10579,29.0,1.68,,us,7000000,True,851,['actor']
sarah paulson,female,1974-12-17,10580,49.0,1.68,,us,12000000,True,852,['actor']
seth rogen,male,1982-04-15,10581,41.0,1.8,,ca,80000000,True,854,"['actor', 'film_producer', 'screenwriter', 'comedian', 'voice_actor', 'film_director', 'television_producer']"
eddie redmayne,male,1982-01-06,10582,42.0,1.8,,gb,4000000,True,855,"['actor', 'model', 'singer']"
les claypool,male,1963-09-29,10583,60.0,1.88,,us,15000000,True,857,"['singer', 'songwriter', 'musician', 'record_producer', 'author', 'actor', 'bassist', 'film_score_composer', 'writer', 'film_director']"
tim robbins,male,1958-10-16,10584,65.0,1.96,,us,70000000,True,858,"['actor', 'musician', 'screenwriter', 'activist', 'film_director', 'film_producer', 'voice_actor']"
troy baker,male,1976-04-01,10585,47.0,1.91,,us,6000000,True,860,"['actor', 'voice_actor', 'musician', 'guitarist']"
james hetfield,male,1963-08-03,10586,60.0,1.85,,us,300000000,True,861,"['singer', 'musician', 'songwriter', 'guitarist', 'record_producer', 'actor', 'film_producer']"
nathan fillion,male,1971-03-27,10587,52.0,1.87,,ca,18000000,True,863,"['actor', 'voice_actor']"
sylvester stallone,male,1946-07-06,10588,77.0,1.77,,us,400000000,True,864,"['screenwriter', 'actor', 'film_director', 'television_producer', 'film_producer', 'voice_actor']"
rupert grint,male,1988-08-24,10589,35.0,1.73,,gb,50000000,True,865,['actor']
robin tunney,female,1972-06-19,10590,51.0,1.62,,us,8000000,True,866,['actor']
rachel mcadams,female,1978-11-17,10591,45.0,1.63,,ca,16000000,True,867,['actor']
rachel weisz,female,1970-03-07,10592,54.0,1.7,,us,36000000,True,868,"['actor', 'fashion_model', 'voice_actor']"
nicole kidman,female,1967-06-20,10593,56.0,1.8,,au,250000000,True,869,"['singer', 'actor', 'film_producer']"
michael mckean,male,1947-10-17,10594,76.0,1.83,,us,12000000,True,870,"['comedian', 'actor', 'musician', 'screenwriter', 'film_score_composer', 'television_producer', 'singer-songwriter', 'television_director', 'voice_actor']"
sid haig,male,1939-07-14,10595,80.0,1.93,2019-09-21,us,1500000,False,872,"['actor', 'hypnotherapist', 'drummer']"
jeffrey wright,male,1965-12-07,10596,58.0,1.8,,us,8000000,True,874,['actor']
thomas jane,male,1969-02-22,10597,55.0,1.8,,us,16000000,True,876,"['actor', 'film_director', 'comic_book_creator', 'voice_actor', 'writer', 'film_producer', 'screenwriter']"
helen mirren,female,1945-07-26,10598,78.0,1.63,,gb,100000000,True,878,"['actor', 'voice_actor', 'film_producer']"
seth rogen,male,1982-04-15,10599,41.0,1.8,,ca,80000000,True,879,"['actor', 'film_producer', 'screenwriter', 'comedian', 'voice_actor', 'film_director', 'television_producer']"
rodrigo santoro,male,1975-08-22,10600,48.0,1.9,,br,10000000,True,881,"['actor', 'voice_actor']"
nathan lane,male,1956-02-03,10601,68.0,1.65,,us,18000000,True,882,"['actor', 'writer', 'singer', 'voice_actor', 'comedian']"
rossif sutherland,male,1978-09-25,10602,45.0,1.96,,ca,4000000,True,884,['actor']
marcia gay harden,female,1959-08-14,10603,64.0,1.64,,us,16000000,True,887,"['actor', 'voice_actor']"
josh lucas,male,1971-06-20,10604,52.0,1.82,,us,8000000,True,888,"['actor', 'film_producer', 'cinematographer', 'voice_actor']"
shane jacobson,male,,10605,,1.85,,au,2000000,,889,['actor']
toni collette,female,1972-11-01,10606,51.0,1.73,,au,18000000,True,890,"['actor', 'musician', 'singer', 'television_producer', 'film_producer', 'voice_actor']"
walton goggins,male,1971-11-10,10607,52.0,1.78,,us,10000000,True,891,"['actor', 'film_producer']"
michael fassbender,male,1977-04-02,10608,46.0,1.83,,de,40000000,True,892,"['actor', 'film_producer', 'businessperson']"
steve carell,male,1962-08-16,10609,61.0,1.75,,us,80000000,True,894,"['comedian', 'film_producer', 'actor', 'television_producer', 'voice_actor', 'screenwriter', 'television_director']"
salma hayek,female,1966-09-02,10610,57.0,1.57,,mx,200000000,True,896,"['actor', 'singer', 'television_producer', 'film_producer', 'film_director', 'voice_actor', 'social_activist', 'model', 'spokesperson', 'businessperson']"
guillaume canet,male,1973-04-10,10611,50.0,1.8,,fr,10000000,True,897,"['actor', 'film_director', 'screenwriter', 'film_producer', 'entrepreneur']"
helena bonham carter,female,1966-05-26,10612,57.0,1.57,,gb,60000000,True,899,"['actor', 'singer', 'voice_actor']"
jeff daniels,male,1955-02-19,10613,69.0,1.91,,us,45000000,True,900,"['actor', 'musician', 'playwright', 'film_director', 'screenwriter', 'songwriter']"
vin diesel,male,1967-07-18,10614,56.0,1.82,,us,225000000,True,901,"['actor', 'film_producer', 'film_director', 'screenwriter', 'voice_actor']"
yvonne strahovski,female,1982-07-30,10615,41.0,1.76,,au,12000000,True,902,"['actor', 'voice_actor']"
sandra bullock,female,1964-07-26,10616,59.0,1.71,,us,200000000,True,903,"['film_producer', 'actor', 'television_producer', 'entrepreneur', 'voice_actor']"
johnny depp,male,1963-06-09,10617,60.0,1.78,,us,150000000,True,904,"['actor', 'film_producer', 'musician', 'film_director', 'screenwriter', 'voice_actor', 'restaurateur', 'winemaker']"
sam worthington,male,1976-08-02,10618,47.0,1.78,,au,30000000,True,905,"['actor', 'film_producer']"
michael shannon,male,1974-08-07,10619,49.0,1.9,,us,8000000,True,906,"['actor', 'musician']"
luke wilson,male,1971-09-21,10620,52.0,1.83,,us,50000000,True,907,"['actor', 'film_director', 'comedian', 'screenwriter', 'film_producer']"
seann william scott,male,1976-10-03,10621,47.0,1.8,,us,25000000,True,908,"['actor', 'comedian', 'film_producer', 'voice_actor']"
seann william scott,male,1976-10-03,10622,47.0,1.8,,us,25000000,True,909,"['actor', 'comedian', 'film_producer', 'voice_actor']"
tom hanks,male,1956-07-09,10623,67.0,1.83,,us,400000000,True,910,"['film_producer', 'screenwriter', 'television_producer', 'television_director', 'actor', 'voice_actor', 'film_director', 'motivational_speaker']"
josh hutcherson,male,1992-10-12,10624,31.0,1.7,,us,20000000,True,911,['actor']
vin diesel,male,1967-07-18,10625,56.0,1.82,,us,225000000,True,912,"['actor', 'film_producer', 'film_director', 'screenwriter', 'voice_actor']"
jeremy sumpter,male,1989-02-05,10626,35.0,1.88,,us,500000,True,914,['actor']
daniel craig,male,1968-03-02,10627,56.0,1.78,,gb,160000000,True,915,"['actor', 'voice_actor']"
tom hardy,male,1977-09-15,10628,46.0,1.75,,gb,45000000,True,916,['actor']
robert redford,male,1937-08-18,10629,86.0,1.79,,us,200000000,True,917,"['actor', 'film_producer', 'film_director', 'businessperson', 'television_producer', 'activist', 'environmentalist', 'philanthropist']"
kevin hart,male,1979-07-06,10630,44.0,1.63,,us,200000000,True,918,"['actor', 'comedian', 'screenwriter', 'television_producer', 'film_producer']"
kristen bell,female,1980-07-18,10631,43.0,1.55,,us,40000000,True,919,"['actor', 'voice_actor', 'singer', 'film_producer']"
robert pattinson,male,1986-05-13,10632,37.0,1.85,,gb,100000000,True,921,"['model', 'musician', 'actor', 'film_producer']"
jack black,male,1969-08-28,10633,54.0,1.68,,us,50000000,True,923,"['actor', 'film_producer', 'television_producer', 'screenwriter', 'comedian', 'voice_actor', 'musician', 'record_producer', 'presenter', 'writer']"
thomas haden church,male,1960-06-17,10634,63.0,1.83,,us,20000000,True,924,"['actor', 'radio_personality', 'screenwriter', 'voice_actor', 'film_director', 'film_producer']"
russell crowe,male,1964-04-07,10635,59.0,1.82,,nz,100000000,True,925,"['actor', 'singer', 'musician', 'film_producer', 'film_director']"
scott adkins,male,1976-06-17,10636,47.0,1.78,,gb,2000000,True,926,"['actor', 'martial_artist', 'stunt_performer']"
john cusack,male,1966-06-28,10637,57.0,1.87,,us,50000000,True,927,"['actor', 'film_producer', 'screenwriter', 'voice_actor']"
chris evans,male,1981-06-13,10638,42.0,1.84,,us,80000000,True,929,"['actor', 'voice_actor', 'film_director', 'film_producer']"
chris evans,male,1966-04-01,10639,57.0,1.88,,gb,120000000,True,929,"['television_producer', 'radio_producer', 'radio_personality', 'businessperson', 'presenter', 'actor', 'voice_actor']"
vinnie jones,male,1965-01-05,10640,59.0,1.88,,gb,10000000,True,930,"['actor', 'football_player', 'singer']"
kuno becker,male,1978-01-14,10641,46.0,1.75,,mx,8000000,True,931,"['actor', 'musician']"
jeffrey dean morgan,male,1966-07-22,10642,57.0,1.88,,us,10000000,True,932,['actor']
corey hawkins,,,10643,,,,,3000000,,933,
nat wolff,male,1994-12-17,10644,29.0,1.85,,us,3000000,True,935,"['actor', 'musician', 'singer-songwriter', 'guitarist', 'keyboard_player', 'composer', 'film_score_composer']"
sean astin,male,1971-02-25,10645,53.0,1.7,,us,10000000,True,936,"['actor', 'voice_actor', 'film_director', 'television_director', 'film_producer', 'screenwriter']"
robert de niro,male,1943-08-17,10646,80.0,1.77,,us,500000000,True,937,"['actor', 'film_producer', 'film_director', 'voice_actor', 'television_producer']"
sienna miller,female,1981-12-28,10647,42.0,1.65,,us,18000000,True,941,"['actor', 'model', 'fashion_designer']"
kristen wiig,female,1973-08-22,10648,50.0,1.65,,us,25000000,True,942,"['actor', 'comedian', 'screenwriter', 'film_producer', 'voice_actor', 'writer']"
ryan reynolds,male,1976-10-23,10649,47.0,1.88,,ca,150000000,True,943,"['actor', 'voice_actor', 'film_producer']"
matt damon,male,1970-10-08,10650,53.0,1.78,,us,170000000,True,944,"['actor', 'film_producer', 'television_producer', 'screenwriter', 'voice_actor', 'spokesperson']"
parker posey,female,1968-11-08,10651,55.0,1.64,,us,10000000,True,946,"['actor', 'singer']"
andy samberg,male,1978-08-18,10652,45.0,1.77,,us,20000000,True,947,"['comedian', 'actor', 'musician', 'screenwriter', 'television_producer', 'television_director', 'lyricist', 'voice_actor', 'rapper', 'film_producer']"
zoe saldana,female,1978-06-19,10653,45.0,1.7,,us,35000000,True,948,"['actor', 'voice_actor', 'film_producer']"
josh brolin,male,1968-02-12,10654,56.0,1.79,,us,45000000,True,951,"['actor', 'stock_trader', 'film_producer']"
charlotte le bon,female,,10655,,,,,4000000,,952,['actor']
jason clarke,male,1969-07-17,10656,54.0,1.87,,au,6000000,True,955,['actor']
robert redford,male,1937-08-18,10657,86.0,1.79,,us,200000000,True,956,"['actor', 'film_producer', 'film_director', 'businessperson', 'television_producer', 'activist', 'environmentalist', 'philanthropist']"
juno temple,female,1989-07-21,10658,34.0,1.57,,gb,1000000,True,958,['actor']
robert de niro,male,1943-08-17,10659,80.0,1.77,,us,500000000,True,959,"['actor', 'film_producer', 'film_director', 'voice_actor', 'television_producer']"
max minghella,male,1985-09-16,10660,38.0,1.76,,gb,3000000,True,960,['actor']
laura linney,female,1964-02-05,10661,60.0,1.7,,us,10000000,True,961,"['actor', 'television_producer', 'singer', 'voice_actor']"
tobey maguire,male,1975-06-27,10662,48.0,1.75,,us,75000000,True,962,"['actor', 'film_producer']"
robert de niro,male,1943-08-17,10663,80.0,1.77,,us,500000000,True,963,"['actor', 'film_producer', 'film_director', 'voice_actor', 'television_producer']"
zac efron,male,1987-10-18,10664,36.0,1.73,,us,25000000,True,964,"['actor', 'singer', 'voice_actor']"
stephen moyer,male,1969-10-11,10665,54.0,1.78,,gb,10000000,True,965,"['actor', 'television_director', 'film_producer']"
thomas bangalter,male,1975-01-03,10666,49.0,,,fr,70000000,True,966,"['composer', 'electronic_musician', 'bassist', 'keyboard_player', 'film_director', 'musician', 'cinematographer', 'screenwriter']"
tea leoni,female,1966-02-25,10667,58.0,1.7,,us,50000000,True,967,"['actor', 'film_producer']"
patrick wilson,male,1973-07-03,10668,50.0,1.85,,us,7000000,True,971,"['actor', 'singer', 'film_producer']"
bridgit mendler,female,1992-12-18,10669,31.0,1.68,,us,2000000,True,974,"['actor', 'musician', 'singer-songwriter', 'voice_actor', 'record_producer']"
lynn collins,female,1977-05-16,10670,46.0,1.73,,us,3000000,True,976,['actor']
margarita levieva,female,1980-02-09,10671,44.0,1.68,,us,3000000,True,978,"['actor', 'gymnast']"
simon pegg,male,1970-02-14,10672,54.0,1.78,,gb,25000000,True,979,"['actor', 'screenwriter', 'comedian', 'film_producer', 'film_director', 'singer', 'voice_actor', 'writer']"
sigourney weaver,female,1949-10-08,10673,74.0,1.82,,us,60000000,True,981,"['actor', 'voice_actor']"
vera farmiga,female,1973-08-06,10674,50.0,1.65,,us,10000000,True,983,"['actor', 'film_director']"
nicole kidman,female,1967-06-20,10675,56.0,1.8,,au,250000000,True,984,"['singer', 'actor', 'film_producer']"
mackenzie foy,female,2000-11-10,10676,23.0,1.32,,us,1000000,True,986,"['actor', 'model']"
mark ronson,male,1975-09-04,10677,48.0,1.78,,gb,20000000,True,987,"['singer', 'disc_jockey', 'record_producer', 'musician', 'guitarist', 'artist', 'composer', 'actor', 'film_producer', 'music_producer']"
gore vidal,male,1925-10-03,10678,86.0,,2012-07-31,us,30000000,False,989,"['writer', 'novelist', 'playwright', 'screenwriter', 'essayist', 'actor', 'journalist', 'author', 'politician']"
kaya scodelario,female,1992-03-13,10679,32.0,1.68,,gb,1000000,True,990,"['actor', 'model']"
paul rudd,male,1969-04-06,10680,54.0,1.78,,us,70000000,True,991,"['actor', 'comedian', 'screenwriter', 'television_producer', 'film_producer']"
nolan bushnell,male,1943-02-05,10681,81.0,,,us,50000000,True,993,"['entrepreneur', 'businessperson', 'electrical_engineer', 'video_game_designer', 'writer']"
seth macfarlane,male,1973-10-26,10682,50.0,1.78,,us,300000000,True,994,"['actor', 'composer', 'animator', 'television_producer', 'voice_actor', 'comedian', 'singer', 'screenwriter', 'film_director', 'television_director']"
rachel weisz,female,1970-03-07,10683,54.0,1.7,,us,36000000,True,995,"['actor', 'fashion_model', 'voice_actor']"
lori loughlin,female,1964-07-28,10684,59.0,1.68,,us,70000000,True,997,"['actor', 'television_producer', 'model', 'screenwriter']"
kristen stewart,female,1990-04-09,10685,33.0,1.65,,us,70000000,True,1001,['actor']
jesse eisenberg,male,1983-10-05,10686,40.0,1.71,,us,10000000,True,1003,"['actor', 'voice_actor', 'playwright']"
laura linney,female,1964-02-05,10687,60.0,1.7,,us,10000000,True,1004,"['actor', 'television_producer', 'singer', 'voice_actor']"
brie larson,female,1989-10-01,10688,34.0,1.7,,us,25000000,True,1005,"['actor', 'singer-songwriter', 'musician', 'screenwriter', 'poet', 'film_director']"
pierce brosnan,male,1953-05-16,10689,70.0,1.88,,ie,200000000,True,1006,"['actor', 'film_producer', 'businessperson', 'activist', 'artist', 'visual_artist', 'environmentalist']"
rebecca hall,female,1982-05-19,10690,41.0,1.75,,gb,7000000,True,1007,['actor']
sandra bullock,female,1964-07-26,10691,59.0,1.71,,us,200000000,True,1008,"['film_producer', 'actor', 'television_producer', 'entrepreneur', 'voice_actor']"
ed helms,male,1974-01-24,10692,50.0,1.83,,us,25000000,True,1009,"['comedian', 'actor', 'voice_actor', 'television_producer', 'screenwriter', 'singer']"
henry cavill,male,1983-05-05,10693,40.0,1.85,,gb,40000000,True,1010,['actor']
ryan reynolds,male,1976-10-23,10694,47.0,1.88,,ca,150000000,True,1011,"['actor', 'voice_actor', 'film_producer']"
taylor kitsch,male,1981-04-08,10695,42.0,1.83,,ca,10000000,True,1013,"['actor', 'model']"
kiernan shipka,female,1999-11-10,10696,24.0,1.52,,us,3000000,True,1014,"['actor', 'child_actor']"
taissa farmiga,female,1994-08-17,10697,29.0,1.68,,us,1500000,True,1016,['actor']
chris evans,male,1981-06-13,10698,42.0,1.84,,us,80000000,True,1017,"['actor', 'voice_actor', 'film_director', 'film_producer']"
chris evans,male,1966-04-01,10699,57.0,1.88,,gb,120000000,True,1017,"['television_producer', 'radio_producer', 'radio_personality', 'businessperson', 'presenter', 'actor', 'voice_actor']"
kevin connolly,male,1974-03-05,10700,50.0,1.7,,us,15000000,True,1018,"['actor', 'television_director', 'film_director', 'voice_actor']"
kevin bacon,male,1958-07-08,10701,65.0,1.79,,us,45000000,True,1019,"['actor', 'musician', 'voice_actor', 'television_director', 'film_producer', 'film_score_composer']"
george clooney,male,1961-05-06,10702,62.0,1.8,,us,500000000,True,1020,"['actor', 'film_producer', 'film_director', 'television_producer', 'television_director', 'voice_actor', 'screenwriter']"
chris pratt,male,1979-06-21,10703,44.0,1.88,,us,60000000,True,1023,"['actor', 'singer']"
the rock dwayne johnson,male,1972-05-02,10704,51.0,1.96,,us,320000000,True,1024,"['wrestler', 'american_football_player', 'actor', 'television_producer', 'author', 'athlete', 'film_producer', 'voice_actor']"
jason clarke,male,1969-07-17,10705,54.0,1.87,,au,6000000,True,1025,['actor']
olivia harrison,female,1948-05-18,10706,75.0,,,mx,300000000,True,1026,"['actor', 'film_producer', 'author']"
rachel mcadams,female,1978-11-17,10707,45.0,1.63,,ca,16000000,True,1027,['actor']
yvon chouinard,male,1938-11-09,10708,85.0,,,us,1500000000,True,1028,['mountaineer']
john leguizamo,male,1964-07-22,10709,59.0,1.73,,co,25000000,True,1029,"['actor', 'film_producer', 'television_producer', 'screenwriter', 'voice_actor', 'comedian']"
tom hardy,male,1977-09-15,10710,46.0,1.75,,gb,45000000,True,1030,['actor']
tom cruise,male,1962-07-03,10711,61.0,1.7,,us,600000000,True,1032,"['actor', 'film_producer', 'screenwriter', 'television_director']"
margot robbie,female,1990-07-02,10712,33.0,1.68,,au,26000000,True,1033,['actor']
nicolas cage,male,1964-01-07,10713,60.0,1.83,,us,25000000,True,1034,"['actor', 'film_producer', 'voice_actor', 'television_producer']"
uriah shelton,male,1997-03-10,10714,27.0,1.68,,us,2000000,True,1035,"['actor', 'singer']"
john lone,male,1952-10-13,10715,71.0,,,us,20000000,True,1037,['actor']
bill hader,male,1978-06-07,10716,45.0,1.85,,us,12000000,True,1038,"['actor', 'comedian', 'television_producer', 'screenwriter', 'voice_actor']"
orlando bloom,male,1977-01-13,10717,47.0,1.8,,gb,40000000,True,1040,['actor']
woody harrelson,male,1961-07-23,10718,62.0,1.78,,us,70000000,True,1041,"['actor', 'businessperson', 'television_producer']"
mark ruffalo,male,1967-11-22,10719,56.0,1.73,,us,35000000,True,1042,"['actor', 'film_producer', 'film_director', 'screenwriter']"
joel edgerton,male,1974-06-23,10720,49.0,1.8,,au,3000000,True,1043,"['actor', 'screenwriter', 'film_producer', 'film_director', 'writer']"
josh hutcherson,male,1992-10-12,10721,31.0,1.7,,us,20000000,True,1044,['actor']
seth rogen,male,1982-04-15,10722,41.0,1.8,,ca,80000000,True,1045,"['actor', 'film_producer', 'screenwriter', 'comedian', 'voice_actor', 'film_director', 'television_producer']"
tim roth,male,1961-05-14,10723,62.0,1.7,,gb,7000000,True,1046,"['actor', 'television_producer', 'film_director']"
hilary swank,female,1974-07-30,10724,49.0,1.68,,us,60000000,True,1047,"['actor', 'film_producer']"
rosemarie dewitt,female,1971-10-26,10725,52.0,1.68,,us,3000000,True,1049,['actor']
patton oswalt,male,1969-01-27,10726,55.0,1.7,,us,10000000,True,1050,"['actor', 'film_producer', 'writer', 'voice_actor', 'television_producer', 'screenwriter', 'comedian']"
tilda swinton,female,1960-11-05,10727,63.0,1.79,,gb,10000000,True,1051,"['actor', 'film_producer', 'model', 'voice_actor', 'screenwriter']"
zooey deschanel,female,1980-01-17,10728,44.0,1.68,,us,25000000,True,1052,"['actor', 'musician', 'model', 'singer-songwriter', 'television_producer', 'voice_actor']"
patrick stewart,male,1940-07-13,10729,83.0,1.78,,gb,70000000,True,1053,"['actor', 'voice_actor', 'journalist', 'television_director', 'film_producer']"
patrick stewart,male,1940-07-13,10730,83.0,1.78,,gb,70000000,True,1054,"['actor', 'voice_actor', 'journalist', 'television_director', 'film_producer']"
ryan reynolds,male,1976-10-23,10731,47.0,1.88,,ca,150000000,True,1055,"['actor', 'voice_actor', 'film_producer']"
michael fassbender,male,1977-04-02,10732,46.0,1.83,,de,40000000,True,1056,"['actor', 'film_producer', 'businessperson']"
patrick stewart,male,1940-07-13,10733,83.0,1.78,,gb,70000000,True,1057,"['actor', 'voice_actor', 'journalist', 'television_director', 'film_producer']"
patrick stewart,male,1940-07-13,10734,83.0,1.78,,gb,70000000,True,1058,"['actor', 'voice_actor', 'journalist', 'television_director', 'film_producer']"
jeremy sisto,male,1974-10-06,10735,49.0,1.87,,us,6000000,True,1060,"['actor', 'voice_actor', 'film_producer', 'screenwriter']"
jack mcbrayer,male,1973-05-27,10736,50.0,1.79,,us,6000000,True,1063,"['comedian', 'actor', 'voice_actor']"
robin williams,male,1951-07-21,10737,63.0,1.7,2014-08-11,us,50000000,False,1064,"['actor', 'screenwriter', 'voice_actor', 'stand-up_comedian', 'comedian', 'film_producer']"
mireille enos,female,1975-09-22,10738,48.0,1.57,,us,10000000,True,1065,['actor']
nicolas cage,male,1964-01-07,10739,60.0,1.83,,us,25000000,True,1066,"['actor', 'film_producer', 'voice_actor', 'television_producer']"
juliette binoche,female,1964-03-09,10740,60.0,1.68,,fr,20000000,True,1067,"['actor', 'artist', 'author', 'dancer', 'poet', 'designer', 'visual_artist', 'voice_actor']"
nathan fillion,male,1971-03-27,10741,52.0,1.87,,ca,18000000,True,1068,"['actor', 'voice_actor']"
matt smith,male,1982-10-28,10742,41.0,1.81,,gb,9000000,True,1069,"['actor', 'film_director']"
ryan reynolds,male,1976-10-23,10743,47.0,1.88,,ca,150000000,True,1070,"['actor', 'voice_actor', 'film_producer']"
zach braff,male,1975-04-06,10744,48.0,1.83,,us,20000000,True,1073,"['actor', 'film_director', 'voice_actor', 'television_producer', 'television_director', 'screenwriter', 'film_producer']"
russell crowe,male,1964-04-07,10745,59.0,1.82,,nz,100000000,True,1074,"['actor', 'singer', 'musician', 'film_producer', 'film_director']"
john hawkes,male,1959-09-11,10746,64.0,1.78,,us,4000000,True,1075,"['actor', 'musician']"
jim cummings,male,1952-11-03,10747,71.0,1.73,,us,10000000,True,1076,"['voice_actor', 'singer', 'actor']"
peter stormare,male,1953-08-27,10748,70.0,1.89,,se,5000000,True,1077,"['actor', 'theatre_director', 'playwright', 'musician', 'voice_actor', 'film_producer', 'television_producer']"
paul giamatti,male,1967-06-06,10749,56.0,1.74,,us,25000000,True,1078,"['actor', 'film_producer', 'voice_actor']"
paul bettany,male,1971-05-27,10750,52.0,1.91,,gb,50000000,True,1079,"['actor', 'voice_actor', 'guitarist', 'film_producer', 'film_director', 'screenwriter']"
natasha richardson,female,1963-05-11,10751,45.0,1.72,2009-03-18,us,15000000,False,1080,"['actor', 'film_producer']"
reese witherspoon,female,1976-03-22,10752,47.0,1.56,,us,200000000,True,1081,"['actor', 'film_producer', 'businessperson', 'voice_actor']"
maggie gyllenhaal,female,1977-11-16,10753,46.0,1.75,,us,15000000,True,1083,['actor']
shailene woodley,female,1991-11-15,10754,32.0,1.73,,us,12000000,True,1084,"['actor', 'model']"
naomi watts,female,1968-09-28,10755,55.0,1.64,,au,30000000,True,1085,"['actor', 'film_producer', 'voice_actor']"
chris evans,male,1981-06-13,10756,42.0,1.84,,us,80000000,True,1088,"['actor', 'voice_actor', 'film_director', 'film_producer']"
chris evans,male,1966-04-01,10757,57.0,1.88,,gb,120000000,True,1088,"['television_producer', 'radio_producer', 'radio_personality', 'businessperson', 'presenter', 'actor', 'voice_actor']"
mel gibson,male,1956-01-03,10758,68.0,1.77,,us,425000000,True,1089,"['actor', 'screenwriter', 'film_director', 'film_producer', 'television_producer', 'television_director', 'voice_actor']"
taika waititi,male,1975-08-16,10759,48.0,,,nz,3000000,True,1090,"['film_director', 'screenwriter', 'comedian', 'actor', 'photographer']"
rosamund pike,female,1979-01-27,10760,45.0,1.74,,gb,9000000,True,1091,['actor']
jack reynor,male,1992-01-23,10761,32.0,,,us,2000000,True,1092,['actor']
julianne moore,female,1960-12-03,10762,63.0,1.6,,us,50000000,True,1093,"['actor', 'author', 'film_producer', 'television_producer', 'theatrical_producer', ""children's_book_author""]"
zoe kazan,female,1983-09-09,10763,40.0,1.63,,us,3000000,True,1094,"['actor', 'screenwriter', 'playwright']"
rob corddry,male,1971-02-04,10764,53.0,1.8,,us,10000000,True,1095,"['comedian', 'actor', 'screenwriter', 'television_producer', 'television_director']"
michael showalter,male,1970-06-17,10765,53.0,1.8,,us,3000000,True,1097,"['actor', 'comedian', 'television_producer', 'television_director', 'screenwriter', 'film_producer', 'film_director']"
jennifer aniston,female,1969-02-11,10766,55.0,1.64,,us,300000000,True,1098,"['actor', 'film_director', 'voice_actor', 'film_producer']"
michelle williams (destiny's child),female,1979-07-23,10767,44.0,1.75,,us,10000000,True,1099,"['singer', 'actor', 'record_producer', 'dancer', 'songwriter']"
michelle williams,female,1980-09-09,10768,43.0,1.63,,us,30000000,True,1099,['actor']
mark strong,male,1963-08-05,10769,60.0,1.88,,gb,9000000,True,1100,"['actor', 'voice_actor']"
vince vaughn,male,1970-03-28,10770,53.0,1.96,,us,70000000,True,1102,"['actor', 'comedian', 'film_producer', 'screenwriter', 'television_producer']"
mel gibson,male,1956-01-03,10771,68.0,1.77,,us,425000000,True,1103,"['actor', 'screenwriter', 'film_director', 'film_producer', 'television_producer', 'television_director', 'voice_actor']"
mark wahlberg,male,1971-06-05,10772,52.0,1.73,,us,300000000,True,1105,"['film_producer', 'actor', 'model', 'musician', 'rapper', 'television_producer', 'singer', 'film_score_composer', 'songwriter']"
tilda swinton,female,1960-11-05,10773,63.0,1.79,,gb,10000000,True,1106,"['actor', 'film_producer', 'model', 'voice_actor', 'screenwriter']"
scarlett johansson,female,1984-11-22,10774,39.0,1.6,,us,165000000,True,1107,"['actor', 'singer', 'model', 'voice_actor']"
matthew mcconaughey,male,1969-11-04,10775,54.0,1.82,,us,140000000,True,1108,"['actor', 'voice_actor', 'film_producer', 'film_director', 'television_producer']"
robert pattinson,male,1986-05-13,10776,37.0,1.85,,gb,100000000,True,1109,"['model', 'musician', 'actor', 'film_producer']"
patrick wilson,male,1973-07-03,10777,50.0,1.85,,us,7000000,True,1110,"['actor', 'singer', 'film_producer']"
tom hardy,male,1977-09-15,10778,46.0,1.75,,gb,45000000,True,1112,['actor']
teresa palmer,female,1986-02-26,10779,38.0,1.67,,au,3000000,True,1113,"['actor', 'model', 'film_producer']"
tom cruise,male,1962-07-03,10780,61.0,1.7,,us,600000000,True,1114,"['actor', 'film_producer', 'screenwriter', 'television_director']"
jeremy irvine,male,1990,10781,,1.85,,gb,2500000,,1115,"['actor', 'model']"
