name,gender,birthday,occupation,age,height,death,nationality,net_worth,is_alive,id
michael moore,male,1954-04-23,"['film_director', 'film_producer', 'screenwriter', 'writer', 'actor', 'critic', 'presenter']",69,1.82,,us,30000000,True,774
james mangold,male,1963-12-16,"['screenwriter', 'film_director', 'television_producer', 'television_director']",60,1.82,,us,20000000,True,780
alex winter,male,1965-07-17,"['film_director', 'actor', 'screenwriter', 'television_director', 'film_producer']",58,,,us,8000000,True,783
ang lee,male,1954-10-23,"['film_director', 'film_producer', 'screenwriter']",69,1.75,,us,32000000,True,799
wang leehom,male,1976-05-17,"['singer-songwriter', 'model', 'musician', 'record_producer', 'actor', 'composer', 'film_director', 'music_arranger']",47,1.78,,us,100000000,True,799
barry levinson,male,1942-04-06,"['film_director', 'film_producer', 'actor', 'screenwriter', 'television_producer', 'television_director']",81,1.8,,us,150000000,True,811
steven soderbergh,male,1963-01-14,"['film_producer', 'television_producer', 'film_director', 'television_director', 'cinematographer', 'film_editor', 'screenwriter', 'television_editor', 'actor']",61,1.83,,us,80000000,True,825
spike lee,male,1957-03-20,"['screenwriter', 'actor', 'film_director', 'film_producer', 'television_director', 'television_producer', 'film_editor', 'teacher']",67,1.68,,us,50000000,True,826
quentin tarantino,male,1963-03-27,"['screenwriter', 'film_director', 'actor', 'film_producer', 'writer', 'television_director', 'voice_actor']",60,1.85,,us,120000000,True,829
adam mckay,male,1968-04-17,"['screenwriter', 'actor', 'film_director', 'comedian', 'television_producer', 'television_director', 'film_producer']",55,1.96,,us,40000000,True,834
marc forster,male,1969-11-30,"['film_director', 'screenwriter', 'film_producer']",54,,,de,30000000,True,846
ben stiller,male,1965-11-30,"['comedian', 'actor', 'screenwriter', 'film_director', 'film_producer', 'television_director', 'television_producer', 'voice_actor']",58,1.7,,us,200000000,True,848
ron howard,male,1954-03-01,"['actor', 'film_producer', 'film_director', 'television_producer', 'screenwriter', 'voice_actor', 'television_director']",70,1.75,,us,200000000,True,849
ken loach,male,1936-06-17,"['film_director', 'television_director', 'screenwriter', 'television_producer']",87,,,gb,5000000,True,850
tom hooper,male,1972-10-01,"['film_director', 'television_director', 'film_producer', 'screenwriter']",51,,,au,20000000,True,855
james gunn,male,1970-08-05,"['screenwriter', 'film_producer', 'actor', 'film_director', 'television_producer', 'television_director', 'novelist', 'musician', 'cartoonist']",53,1.82,,us,50000000,True,863
ryan coogler,male,1986-05-23,"['film_director', 'screenwriter']",37,,,us,10000000,True,864
billy ray cyrus,male,1961-08-25,"['actor', 'singer-songwriter', 'guitarist', 'musician', 'television_producer', 'philanthropist']",62,1.83,,us,20000000,True,869
christopher guest,male,1948-02-05,"['screenwriter', 'composer', 'musician', 'film_director', 'actor', 'comedian', 'television_producer', 'television_director', 'film_score_composer', 'film_producer']",76,1.8,,us,60000000,True,870
rob zombie,male,1965-01-12,"['musician', 'film_director', 'screenwriter', 'composer', 'film_producer', 'actor', 'songwriter', 'music_producer', 'singer', 'programmer']",59,1.78,,us,50000000,True,872
jay roach,male,1957-06-14,"['film_director', 'film_producer', 'screenwriter', 'cinematographer']",66,1.84,,us,100000000,True,878
danny boyle,male,1956-10-20,"['film_producer', 'film_director', 'screenwriter', 'television_director', 'television_producer', 'theatre_director']",67,1.82,,gb,60000000,True,879
colin hanks,male,1977-11-24,"['actor', 'voice_actor', 'film_producer', 'film_director', 'writer']",46,1.86,,us,14000000,True,885
stephen frears,male,1941-06-20,"['film_director', 'film_producer', 'actor', 'television_director', 'television_producer']",82,1.7,,gb,10000000,True,897
clint eastwood,male,1930-05-31,"['actor', 'film_director', 'film_producer', 'politician', 'composer', 'pianist', 'film_score_composer', 'television_producer', 'businessperson', 'investor']",93,1.93,,us,375000000,True,900
steven spielberg,male,1946-12-18,"['film_producer', 'film_director', 'screenwriter', 'entrepreneur', 'television_producer', 'actor', 'film_editor', 'television_director', 'businessperson']",77,1.72,,us,7000000000,True,910
sam mendes,male,1965-08-01,"['film_producer', 'film_director', 'television_director', 'television_producer', 'theatre_director']",58,1.78,,gb,30000000,True,915
james vanderbilt,male,1975-11-17,"['screenwriter', 'film_producer']",48,,,us,20000000,True,917
patrick swayze,male,1952-08-18,"['actor', 'dancer', 'singer-songwriter']",57,1.78,2009-09-14,us,40000000,False,922
chris evans,male,1981-06-13,"['actor', 'voice_actor', 'film_director', 'film_producer']",42,1.84,,us,80000000,True,929
chris evans,male,1966-04-01,"['television_producer', 'radio_producer', 'radio_personality', 'businessperson', 'presenter', 'actor', 'voice_actor']",57,1.88,,gb,120000000,True,929
nancy meyers,female,1949-12-08,"['screenwriter', 'film_director', 'film_producer', 'writer']",74,1.55,,us,10000000,True,937
roman polanski,male,1933-08-18,"['film_director', 'actor', 'screenwriter', 'film_producer', 'writer']",90,1.65,,fr,50000000,True,940
john wells,male,1956-05-28,"['film_producer', 'television_producer', 'screenwriter', 'television_director', 'film_director']",67,,,us,300000000,True,941
marielle heller,,,,,,,,5000000,,942
ridley scott,male,1937-11-30,"['film_producer', 'film_director', 'production_designer', 'television_producer', 'television_director']",86,1.74,,gb,400000000,True,944
woody allen,male,1935-12-01,"['actor', 'comedian', 'film_director', 'playwright', 'musician', 'screenwriter', 'writer', 'voice_actor', 'film_score_composer', 'film_producer']",88,1.65,,us,140000000,True,946
genndy tartakovsky,male,1970-01-17,"['animator', 'television_producer', 'animation_director', 'television_director', 'screenwriter', 'film_director']",54,,,us,10000000,True,947
denis villeneuve,male,1967-10-03,"['film_director', 'screenwriter']",56,,,ca,16000000,True,951
robert zemeckis,male,1952-05-14,"['film_director', 'film_producer', 'screenwriter', 'television_director', 'television_producer', 'pilot']",71,1.83,,us,60000000,True,952
baltasar kormakur,male,1966-02-27,"['film_director', 'actor', 'film_producer', 'theatre_director', 'screenwriter']",58,,,is,16000000,True,955
alan parker,male,1944-02-14,"['screenwriter', 'film_director', 'film_producer', 'actor', 'copywriter', 'television_director']",80,,,gb,20000000,True,961
edward zwick,male,1952-10-08,"['businessperson', 'film_director', 'screenwriter', 'film_producer', 'actor', 'television_producer', 'television_director']",71,1.7,,us,20000000,True,962
max joseph,male,,"['film_editor', 'film_director', 'film_producer']",,,,us,250000,,964
alex kendrick,male,1970,"['film_director', 'actor', 'screenwriter', 'pastor', 'film_editor', 'film_producer', 'novelist']",,,,us,8000000,,972
noah baumbach,male,1969-09-03,"['screenwriter', 'film_director', 'actor', 'film_producer']",54,1.75,,us,16000000,True,973
terry jones,male,1942-02-01,"['screenwriter', 'writer', 'comedian', 'presenter', 'actor', 'film_director', 'poet', 'novelist', 'historian', 'commentator']",77,1.73,2020-01-21,gb,15000000,False,979
peyton reed,male,1964-07-03,"['film_director', 'television_director', 'actor', 'screenwriter']",59,,,us,5000000,True,991
seth macfarlane,male,1973-10-26,"['actor', 'composer', 'animator', 'television_producer', 'voice_actor', 'comedian', 'singer', 'screenwriter', 'film_director', 'television_director']",50,1.78,,us,300000000,True,994
michael damian,male,1962-04-26,"['actor', 'film_director', 'film_producer', 'screenwriter', 'musician']",61,1.82,,us,3000000,True,997
bill condon,male,1955-10-22,"['screenwriter', 'film_director', 'film_producer', 'writer', 'actor']",68,1.65,,us,5000000,True,1004
judd apatow,male,1967-12-06,"['film_producer', 'film_director', 'screenwriter', 'television_producer', 'television_director', 'actor', 'voice_actor', 'comedian']",56,1.74,,us,150000000,True,1005
joel edgerton,male,1974-06-23,"['actor', 'screenwriter', 'film_producer', 'film_director', 'writer']",49,1.8,,au,3000000,True,1007
john francis daley,male,1985-07-20,"['actor', 'screenwriter', 'musician', 'film_director']",38,1.83,,us,5000000,True,1009
guy ritchie,male,1968-09-10,"['film_director', 'screenwriter', 'film_producer', 'television_producer', 'businessperson', 'actor', 'copywriter']",55,1.8,,gb,150000000,True,1010
tarsem singh,male,1961-05-26,['film_director'],62,,,in,10000000,True,1011
joss whedon,male,1964-06-23,"['screenwriter', 'television_director', 'television_producer', 'film_producer', 'film_director', 'cartoonist', 'novelist', 'actor', 'writer', 'comic_book_creator']",59,1.78,,us,100000000,True,1017
doug ellin,male,1968-04-06,"['screenwriter', 'television_producer', 'writer', 'film_director', 'television_director', 'actor', 'film_producer']",55,,,us,40000000,True,1018
brad bird,male,1957-09-24,"['actor', 'film_director', 'screenwriter', 'animator', 'writer', 'voice_actor', 'film_producer', 'television_director']",66,,,us,40000000,True,1020
colin trevorrow,male,1976-09-13,"['screenwriter', 'film_director', 'film_producer']",47,,,us,5000000,True,1023
brad peyton,male,1980-09-16,"['film_director', 'writer']",43,,,ca,5000000,True,1024
alan taylor,male,1959,"['film_director', 'television_director', 'television_producer', 'screenwriter']",,,,us,5000000,,1025
antoine fuqua,male,1966-01-19,"['film_director', 'film_producer', 'music_video_director']",58,,,us,25000000,True,1027
christopher mcquarrie,male,1968,"['screenwriter', 'film_director', 'film_producer', 'television_producer', 'songwriter', 'actor']",,,,us,30000000,,1032
ridley scott,male,1937-11-30,"['film_producer', 'film_director', 'production_designer', 'television_producer', 'television_director']",86,1.74,,gb,400000000,True,1034
brett ratner,male,1969-03-28,"['film_director', 'film_producer', 'television_producer', 'music_video_director', 'actor', 'television_director']",54,1.73,,us,85000000,True,1037
pete docter,male,1968-10-09,"['film_director', 'animator', 'screenwriter', 'film_producer', 'voice_actor', 'writer']",55,1.94,,us,5000000,True,1038
david fincher,male,1962-08-28,"['film_director', 'film_producer', 'music_video_director', 'television_producer', 'actor', 'television_director', 'screenwriter']",61,1.84,,us,75000000,True,1042
kathryn bigelow,female,1951-11-27,"['film_director', 'screenwriter', 'film_producer', 'actor', 'television_director']",72,1.82,,us,40000000,True,1043
jon favreau,male,1966-10-19,"['actor', 'film_producer', 'comedian', 'television_director', 'film_director', 'voice_actor', 'screenwriter', 'television_producer']",57,1.83,,us,100000000,True,1044
kevin smith,male,1970-08-02,"['actor', 'film_producer', 'film_director', 'film_editor', 'comedian', 'comic_book_creator', 'radio_personality', 'screenwriter', 'television_producer', 'author']",53,1.75,,us,25000000,True,1045
francis ford coppola,male,1939-04-07,"['screenwriter', 'film_producer', 'film_director', 'television_director', 'television_producer', 'actor', 'film_editor']",84,1.82,,us,400000000,True,1046
jason reitman,male,1977-10-19,"['film_director', 'actor', 'screenwriter', 'film_producer', 'businessperson', 'television_director']",46,1.8,,ca,12000000,True,1050
peyton reed,male,1964-07-03,"['film_director', 'television_director', 'actor', 'screenwriter']",59,,,us,5000000,True,1052
bryan singer,male,1965-09-17,"['television_producer', 'film_producer', 'film_director', 'screenwriter', 'actor']",58,1.78,,us,100000000,True,1053
brett ratner,male,1969-03-28,"['film_director', 'film_producer', 'television_producer', 'music_video_director', 'actor', 'television_director']",54,1.73,,us,85000000,True,1054
gavin hood,male,1963-05-12,"['actor', 'screenwriter', 'film_director', 'television_producer']",60,,,za,25000000,True,1055
matthew vaughn,male,1971-03-07,"['film_director', 'film_producer', 'screenwriter', 'television_producer']",53,1.83,,gb,30000000,True,1056
bryan singer,male,1965-09-17,"['television_producer', 'film_producer', 'film_director', 'screenwriter', 'actor']",58,1.78,,us,100000000,True,1057
bryan singer,male,1965-09-17,"['television_producer', 'film_producer', 'film_director', 'screenwriter', 'actor']",58,1.78,,us,100000000,True,1058
bobcat goldthwait,male,1962-05-26,"['film_director', 'actor', 'screenwriter', 'comedian', 'television_director', 'film_producer', 'voice_actor']",61,1.7,,us,1200000,True,1064
marc forster,male,1969-11-30,"['film_director', 'screenwriter', 'film_producer']",54,,,de,30000000,True,1065
oliver stone,male,1946-09-15,"['screenwriter', 'film_producer', 'film_director', 'actor', 'television_producer', 'cinematographer', 'film_editor', 'author', 'television_director', 'soldier']",77,1.83,,us,70000000,True,1066
simon curtis,male,1960-03-11,"['film_producer', 'television_director', 'television_producer', 'film_director']",64,,,gb,20000000,True,1070
zach braff,male,1975-04-06,"['actor', 'film_director', 'voice_actor', 'television_producer', 'television_director', 'screenwriter', 'film_producer']",48,1.83,,us,20000000,True,1073
akiva goldsman,male,1962-07-07,"['screenwriter', 'film_producer', 'actor']",61,,,us,50000000,True,1074
john woo,male,1946-05-01,"['film_producer', 'screenwriter', 'actor', 'film_director', 'film_editor']",77,1.64,,cn,60000000,True,1077
roland emmerich,male,1955-11-10,"['film_director', 'film_producer', 'screenwriter', 'television_producer']",68,,,de,200000000,True,1083
noah baumbach,male,1969-09-03,"['screenwriter', 'film_director', 'actor', 'film_producer']",54,1.75,,us,16000000,True,1085
spike jonze,male,1969-10-22,"['film_director', 'film_producer', 'actor', 'screenwriter', 'cinematographer', 'music_video_director']",54,1.7,,us,50000000,True,1086
nancy meyers,female,1949-12-08,"['screenwriter', 'film_director', 'film_producer', 'writer']",74,1.55,,us,10000000,True,1089
jemaine clement,male,1974-01-10,"['actor', 'musician', 'comedian', 'screenwriter', 'television_producer', 'composer', 'lyricist', 'voice_actor', 'multi-instrumentalist']",50,1.85,,nz,2000000,True,1090
david wain,male,1969-08-01,"['actor', 'comedian', 'screenwriter', 'film_director', 'television_director', 'television_producer', 'film_producer', 'film_editor', 'writer']",54,1.8,,us,1000000,True,1097
rawson marshall thurber,male,1975-02-09,"['film_director', 'actor', 'screenwriter', 'film_producer']",49,,,us,5000000,True,1098
cameron crowe,male,1957-07-13,"['film_director', 'screenwriter', 'film_producer', 'writer', 'editor', 'actor', 'journalist']",66,1.83,,us,45000000,True,1107
jay mcgraw,male,1979-09-12,"['writer', 'talk_show_host', 'television_producer']",44,,,us,30000000,True,1108
tim mcgraw,male,1967-05-01,"['actor', 'singer', 'songwriter', 'guitarist']",56,1.78,,us,165000000,True,1108
aaron mcgruder,male,1974-05-29,"['writer', 'cartoonist', 'television_producer', 'screenwriter', 'voice_actor', 'public_speaker', 'film_score_composer']",49,,,us,10000000,True,1108
jeremy mcgrath,male,1971-11-19,['actor'],52,,,us,6000000,True,1108
tracy mcgrady,male,1979-05-24,['basketball_player'],44,2.03,,us,75000000,True,1108
bernard mcguirk,male,1957-10-26,,66,,,us,3000000,True,1108
carol mcgiffin,female,1960-02-18,"['presenter', 'radio_personality']",64,1.75,,gb,9000000,True,1108
paul mcguinness,male,1951-06-17,"['talent_manager', 'theatrical_producer', 'film_producer', 'businessperson']",72,,,de,150000000,True,1108
katie mcgrath,female,1983-10-24,"['actor', 'journalist', 'makeup_artist', 'model']",40,1.65,,ie,4000000,True,1108
joseph mcginty nichol,male,1968-08-09,"['film_director', 'film_producer', 'record_producer', 'television_producer', 'songwriter', 'screenwriter']",55,1.88,,us,60000000,True,1108
jordan mcgraw,,,,,,,,20000000,,1108
tom mcgowan,male,1959-07-26,['actor'],64,,,us,2000000,True,1108
paul mcgowan,,,,,,,,48000000,,1108
ted mcginley,male,1958-05-30,['actor'],65,1.82,,us,5000000,True,1108
bob mcgrath,male,1932-06-13,"['actor', 'writer']",91,,,us,2000000,True,1108
ehren mcghehey,male,1976-11-29,"['actor', 'stunt_performer', 'entrepreneur']",47,,,us,3500000,True,1108
conor mcgregor,male,1988-07-14,['mixed_martial_artist'],35,1.75,,ie,120000000,True,1108
scott mcgillivray,male,1978-04-07,"['carpentry', 'actor', 'presenter']",45,1.83,,ca,4000000,True,1108
paddy mcguinness,,1878,,,,,,10000000,,1108
patrick mcgovern,male,1937-08-11,['businessperson'],76,,2014-03-19,us,5700000000,False,1108
john c. mcginley,male,1959-08-03,"['actor', 'film_producer', 'comedian', 'author', 'voice_actor', 'entrepreneur', 'screenwriter', 'spokesperson']",64,1.88,,us,10000000,True,1108
javale mcgee,male,1988-01-19,['basketball_player'],36,2.13,,us,14000000,True,1108
kelly mcgillis,female,1957-07-09,['actor'],66,1.78,,us,4000000,True,1108
william mcgirt,,,,,,,,11000000,,1108
blake mcgrath,male,1983-11-21,"['dancer', 'choreographer', 'actor', 'model']",40,,,us,2000000,True,1108
paul mcgann,male,1959-11-14,"['actor', 'voice_actor']",64,1.74,,gb,7000000,True,1108
mike mcgill,male,1964,"['skateboarder', 'actor']",,,,us,10000000,,1108
fred mcgriff,male,1963-10-31,['baseball_player'],60,,,us,30000000,True,1108
mark mcgrath,male,1968-03-15,"['singer', 'presenter', 'musician', 'actor', 'composer']",56,1.85,,us,6000000,True,1108
paul mcgillion,male,1969-01-05,['actor'],55,1.78,,gb,3000000,True,1108
zack snyder,male,1966-03-01,"['film_director', 'film_producer', 'screenwriter']",58,1.7,,us,60000000,True,1110
steven spielberg,male,1946-12-18,"['film_producer', 'film_director', 'screenwriter', 'entrepreneur', 'television_producer', 'actor', 'film_editor', 'television_director', 'businessperson']",77,1.72,,us,7000000000,True,1114
steven spielberg,male,1946-12-18,"['film_producer', 'film_director', 'screenwriter', 'entrepreneur', 'television_producer', 'actor', 'film_editor', 'television_director', 'businessperson']",77,1.72,,us,7000000000,True,1115
timur bekmambetov,male,1961-06-25,"['film_director', 'screenwriter', 'film_producer']",62,1.68,,kz,30000000,True,1117
andrew stanton,male,1965-12-03,"['film_director', 'film_producer', 'screenwriter', 'voice_actor']",58,,,us,40000000,True,1118
oliver stone,male,1946-09-15,"['screenwriter', 'film_producer', 'film_director', 'actor', 'television_producer', 'cinematographer', 'film_editor', 'author', 'television_director', 'soldier']",77,1.83,,us,70000000,True,1119
rob thomas,male,1972-02-14,"['singer', 'singer-songwriter', 'guitarist', 'songwriter', 'music_artist']",52,1.75,,us,17000000,True,1126
cameron crowe,male,1957-07-13,"['film_director', 'screenwriter', 'film_producer', 'writer', 'editor', 'actor', 'journalist']",66,1.83,,us,45000000,True,1128
stephen sommers,male,1962-03-20,"['screenwriter', 'film_director', 'film_producer', 'television_producer', 'television_director', 'actor']",62,1.88,,us,20000000,True,1130
bryan singer,male,1965-09-17,"['television_producer', 'film_producer', 'film_director', 'screenwriter', 'actor']",58,1.78,,us,100000000,True,1131
nicolas winding refn,male,1970-09-29,"['film_director', 'screenwriter', 'film_producer', 'television_producer', 'actor']",53,,,dk,10000000,True,1132
jason reitman,male,1977-10-19,"['film_director', 'actor', 'screenwriter', 'film_producer', 'businessperson', 'television_director']",46,1.8,,ca,12000000,True,1137
pete docter,male,1968-10-09,"['film_director', 'animator', 'screenwriter', 'film_producer', 'voice_actor', 'writer']",55,1.94,,us,5000000,True,1138
tony scott,male,1944-06-21,"['film_producer', 'film_director', 'television_producer', 'television_director', 'cinematographer', 'actor', 'screenwriter', 'film_editor']",68,1.69,2012-08-19,gb,200000000,False,1141
louis leterrier,,,,,,,,14000000,,1142
paul greengrass,male,1955-08-13,"['screenwriter', 'film_director', 'television_producer', 'journalist', 'television_director', 'film_producer']",68,,,gb,20000000,True,1144
adrian lyne,male,1941-03-04,"['film_producer', 'film_director', 'screenwriter']",83,,,gb,20000000,True,1146
patrick tatopoulos,male,,"['producer', 'writer', 'film_director', 'designer']",,,,us,4000000,,1148
len wiseman,male,1973-03-04,"['screenwriter', 'film_director', 'film_producer', 'television_producer', 'television_director']",51,1.82,,us,20000000,True,1149
len wiseman,male,1973-03-04,"['screenwriter', 'film_director', 'film_producer', 'television_producer', 'television_director']",51,1.82,,us,20000000,True,1151
angelina jolie,female,1975-06-04,"['actor', 'model', 'voice_actor', 'film_director', 'screenwriter', 'film_producer', 'writer', 'author']",48,1.69,,us,120000000,True,1156
paddy considine,male,1973-09-05,"['actor', 'film_director', 'screenwriter', 'musician', 'photographer']",50,1.76,,gb,4000000,True,1159
david harewood,male,1965-12-08,"['actor', 'voice_actor']",58,1.83,,gb,5000000,True,1163
ethan coen,male,1957-09-21,"['film_director', 'screenwriter', 'film_producer', 'film_editor', 'television_producer', 'actor']",66,1.72,,us,60000000,True,1168
wolfgang petersen,male,1941-03-14,"['film_director', 'film_producer', 'screenwriter', 'television_director']",83,1.8,,de,20000000,True,1169
ben stiller,male,1965-11-30,"['comedian', 'actor', 'screenwriter', 'film_director', 'film_producer', 'television_director', 'television_producer', 'voice_actor']",58,1.7,,us,200000000,True,1171
louis leterrier,,,,,,,,14000000,,1180
michael bay,male,1965-02-17,"['film_director', 'film_producer', 'actor', 'music_video_director', 'television_producer', 'businessperson']",59,1.85,,us,450000000,True,1181
michael bay,male,1965-02-17,"['film_director', 'film_producer', 'actor', 'music_video_director', 'television_producer', 'businessperson']",59,1.85,,us,450000000,True,1182
michael bay,male,1965-02-17,"['film_director', 'film_producer', 'actor', 'music_video_director', 'television_producer', 'businessperson']",59,1.85,,us,450000000,True,1183
wally pfister,male,1961-07-08,"['cinematographer', 'film_director']",62,,,us,4000000,True,1184
antoine fuqua,male,1966-01-19,"['film_director', 'film_producer', 'music_video_director']",58,,,us,25000000,True,1186
steven soderbergh,male,1963-01-14,"['film_producer', 'television_producer', 'film_director', 'television_director', 'cinematographer', 'film_editor', 'screenwriter', 'television_editor', 'actor']",61,1.83,,us,80000000,True,1187
lee unkrich,male,1967-08-08,"['film_director', 'film_editor', 'screenwriter', 'voice_actor']",56,,,us,2500000,True,1190
brett ratner,male,1969-03-28,"['film_director', 'film_producer', 'television_producer', 'music_video_director', 'actor', 'television_director']",54,1.73,,us,85000000,True,1191
len wiseman,male,1973-03-04,"['screenwriter', 'film_director', 'film_producer', 'television_producer', 'television_director']",51,1.82,,us,20000000,True,1193
chris rock,male,1965-02-07,"['comedian', 'screenwriter', 'actor', 'film_director', 'film_producer', 'television_producer', 'voice_actor', 'presenter']",59,1.78,,us,60000000,True,1194
penn and teller,,,,,,,,400000000,,1203
miles teller,male,1987-02-20,['actor'],37,1.83,,us,10000000,True,1203
teller,male,1948-02-14,"['actor', 'screenwriter', 'film_producer', 'magician', 'illusionist', 'painter', 'comedian', 'writer', 'television_producer', 'film_director']",76,1.75,,us,200000000,True,1203
alan taylor,male,1959,"['film_director', 'television_director', 'television_producer', 'screenwriter']",,,,us,5000000,,1209
kenneth branagh,male,1960-12-10,"['actor', 'film_director', 'film_producer', 'screenwriter', 'television_producer', 'voice_actor']",63,1.77,,gb,60000000,True,1210
jay mcgraw,male,1979-09-12,"['writer', 'talk_show_host', 'television_producer']",44,,,us,30000000,True,1212
tim mcgraw,male,1967-05-01,"['actor', 'singer', 'songwriter', 'guitarist']",56,1.78,,us,165000000,True,1212
aaron mcgruder,male,1974-05-29,"['writer', 'cartoonist', 'television_producer', 'screenwriter', 'voice_actor', 'public_speaker', 'film_score_composer']",49,,,us,10000000,True,1212
jeremy mcgrath,male,1971-11-19,['actor'],52,,,us,6000000,True,1212
tracy mcgrady,male,1979-05-24,['basketball_player'],44,2.03,,us,75000000,True,1212
bernard mcguirk,male,1957-10-26,,66,,,us,3000000,True,1212
carol mcgiffin,female,1960-02-18,"['presenter', 'radio_personality']",64,1.75,,gb,9000000,True,1212
paul mcguinness,male,1951-06-17,"['talent_manager', 'theatrical_producer', 'film_producer', 'businessperson']",72,,,de,150000000,True,1212
katie mcgrath,female,1983-10-24,"['actor', 'journalist', 'makeup_artist', 'model']",40,1.65,,ie,4000000,True,1212
joseph mcginty nichol,male,1968-08-09,"['film_director', 'film_producer', 'record_producer', 'television_producer', 'songwriter', 'screenwriter']",55,1.88,,us,60000000,True,1212
jordan mcgraw,,,,,,,,20000000,,1212
tom mcgowan,male,1959-07-26,['actor'],64,,,us,2000000,True,1212
paul mcgowan,,,,,,,,48000000,,1212
ted mcginley,male,1958-05-30,['actor'],65,1.82,,us,5000000,True,1212
bob mcgrath,male,1932-06-13,"['actor', 'writer']",91,,,us,2000000,True,1212
ehren mcghehey,male,1976-11-29,"['actor', 'stunt_performer', 'entrepreneur']",47,,,us,3500000,True,1212
conor mcgregor,male,1988-07-14,['mixed_martial_artist'],35,1.75,,ie,120000000,True,1212
scott mcgillivray,male,1978-04-07,"['carpentry', 'actor', 'presenter']",45,1.83,,ca,4000000,True,1212
paddy mcguinness,,1878,,,,,,10000000,,1212
patrick mcgovern,male,1937-08-11,['businessperson'],76,,2014-03-19,us,5700000000,False,1212
john c. mcginley,male,1959-08-03,"['actor', 'film_producer', 'comedian', 'author', 'voice_actor', 'entrepreneur', 'screenwriter', 'spokesperson']",64,1.88,,us,10000000,True,1212
javale mcgee,male,1988-01-19,['basketball_player'],36,2.13,,us,14000000,True,1212
kelly mcgillis,female,1957-07-09,['actor'],66,1.78,,us,4000000,True,1212
william mcgirt,,,,,,,,11000000,,1212
blake mcgrath,male,1983-11-21,"['dancer', 'choreographer', 'actor', 'model']",40,,,us,2000000,True,1212
paul mcgann,male,1959-11-14,"['actor', 'voice_actor']",64,1.74,,gb,7000000,True,1212
mike mcgill,male,1964,"['skateboarder', 'actor']",,,,us,10000000,,1212
fred mcgriff,male,1963-10-31,['baseball_player'],60,,,us,30000000,True,1212
mark mcgrath,male,1968-03-15,"['singer', 'presenter', 'musician', 'actor', 'composer']",56,1.85,,us,6000000,True,1212
paul mcgillion,male,1969-01-05,['actor'],55,1.78,,gb,3000000,True,1212
shawn levy,male,1968-07-23,"['actor', 'film_director', 'film_producer', 'television_producer', 'television_director']",55,,,us,50000000,True,1213
evan goldberg,male,1982,"['screenwriter', 'film_producer', 'film_director', 'actor']",,,,ca,40000000,,1214
judd apatow,male,1967-12-06,"['film_producer', 'film_director', 'screenwriter', 'television_producer', 'television_director', 'actor', 'voice_actor', 'comedian']",56,1.74,,us,150000000,True,1216
paul haggis,male,1953-03-10,"['screenwriter', 'film_director', 'film_producer', 'television_director', 'television_producer']",71,1.83,,ca,60000000,True,1217
tim story,male,1970-03-13,"['film_director', 'film_producer', 'screenwriter', 'film_editor', 'television_producer', 'television_director', 'music_video_director']",54,,,us,15000000,True,1218
paul thomas anderson,male,1970-06-26,"['screenwriter', 'film_producer', 'film_director', 'actor']",53,,,us,70000000,True,1221
terry gilliam,male,1940-11-22,"['actor', 'animator', 'film_director', 'film_producer', 'screenwriter']",83,1.75,,gb,50000000,True,1222
darren aronofsky,male,1969-02-12,"['film_director', 'film_producer', 'screenwriter', 'actor']",55,1.83,,us,25000000,True,1223
edgar wright,male,1974-04-18,"['film_director', 'television_director', 'screenwriter', 'actor', 'film_producer', 'editor', 'television_producer', 'tv_editor']",49,,,gb,10000000,True,1224
james mangold,male,1963-12-16,"['screenwriter', 'film_director', 'television_producer', 'television_director']",60,1.82,,us,20000000,True,1228
martin scorsese,male,1942-11-17,"['film_producer', 'actor', 'film_director', 'screenwriter', 'television_producer', 'television_director', 'film_editor', 'film_historian']",81,1.63,,us,150000000,True,1229
gore verbinski,male,1964-03-16,"['film_director', 'screenwriter', 'musician', 'film_producer', 'music_video_director']",60,,,us,130000000,True,1233
nat faxon,male,1975,"['actor', 'screenwriter', 'comedian', 'voice_actor']",,,,us,6000000,,1234
peter weir,male,1944-08-21,"['film_director', 'film_producer', 'screenwriter', 'actor']",79,,,au,15000000,True,1235
russell crowe,male,1964-04-07,"['actor', 'singer', 'musician', 'film_producer', 'film_director']",59,1.82,,nz,100000000,True,1238
terrence malick,male,1943-11-30,"['screenwriter', 'film_director', 'film_producer', 'actor', 'journalist', 'author']",80,1.7,,us,15000000,True,1251
louis leterrier,,,,,,,,14000000,,1252
ben affleck,male,1972-08-15,"['actor', 'film_director', 'screenwriter', 'film_producer', 'television_producer', 'professional_poker_player', 'businessperson']",51,1.92,,us,150000000,True,1253
steven spielberg,male,1946-12-18,"['film_producer', 'film_director', 'screenwriter', 'entrepreneur', 'television_producer', 'actor', 'film_editor', 'television_director', 'businessperson']",77,1.72,,us,7000000000,True,1256
tony scott,male,1944-06-21,"['film_producer', 'film_director', 'television_producer', 'television_director', 'cinematographer', 'actor', 'screenwriter', 'film_editor']",68,1.69,2012-08-19,gb,200000000,False,1258
josh gordon,male,1991-04-13,['american_football_player'],32,1.91,,us,3000000,True,1260
tommy lee jones,male,1946-09-15,"['film_director', 'actor', 'film_producer', 'screenwriter', 'voice_actor']",77,1.83,,us,90000000,True,1262
jon turteltaub,male,1963-08-08,"['film_producer', 'film_director', 'television_producer', 'television_director']",60,,,us,80000000,True,1266
